vr_id,vendor_id,vr_productcode,vr_minqty,vr_maxqty,vr_price,vr_partno,vr_deactivate_until,lastmodified,lastmodby
"2379","44","0021000411","1","",".0100","0021000411","","2025-04-10 11:47:00","1"
"2380","44","0021000421","1","",".0100","0021000421","","2025-04-10 11:47:00","1"
"2375","44","0021000511","1","",".0100","0021000511","","2025-04-10 11:47:00","1"
"2377","44","0021000521","1","",".0100","0021000521","","2025-04-10 11:47:00","1"
"2381","44","0021000611","1","",".0100","0021000611","","2025-04-10 11:47:00","1"
"2382","44","0021000621","1","",".0100","0021000621","","2025-04-10 11:47:00","1"
"2300","44","0021000711","1","",".0100","0021000711","","2025-04-10 11:47:00","1"
"2376","44","0021000721","1","",".0100","0021000721","","2025-04-10 11:47:00","1"
"2403","44","0021000811","1","",".0100","0021000811","","2025-04-10 11:47:00","1"
"2402","44","0021000821","1","",".0100","0021000821","","2025-04-10 11:47:00","1"
"2400","44","0021000911","1","",".0100","0021000911","","2025-04-10 11:47:00","1"
"2401","44","0021000921","1","",".0100","0021000921","","2025-04-10 11:47:00","1"
"2392","44","0021001011","1","",".0100","0021001011","","2025-04-10 11:47:00","1"
"2391","44","0021001021","1","",".0100","0021001021","","2025-04-10 11:47:00","1"
"2393","44","0021001111","1","",".0100","0021001111","","2025-04-10 11:47:00","1"
"2394","44","0021001121","1","",".0100","0021001121","","2025-04-10 11:47:00","1"
"2389","44","0021001211","1","",".0100","0021001211","","2025-04-10 11:47:00","1"
"2390","44","0021001221","1","",".0100","0021001221","","2025-04-10 11:47:00","1"
"2412","44","0021001411","1","","399.6000","0021001411","","2025-04-10 11:47:00","1"
"2413","44","0021001421","1","",".0100","0021001421","","2025-04-10 11:47:00","1"
"2411","44","0021001511","1","",".0100","0021001511","","2025-04-10 11:47:00","1"
"3559","44","0021001611","1","",".0100","0021001611","","2025-04-10 11:47:00","1"
"2295","44","0021002411","1","",".0100","0021002411","","2025-04-10 11:47:00","1"
"2449","44","0021002421","1","",".0100","0021002421","","2025-04-10 11:47:00","1"
"2294","44","0021002811","1","",".0100","0021002811","","2025-04-10 11:47:00","1"
"2448","44","0021002821","1","",".0100","0021002821","","2025-04-10 11:47:00","1"
"2420","44","0021003211","1","",".0100","0021003211","","2025-04-10 11:47:00","1"
"2419","44","0021003221","1","",".0100","0021003221","","2025-04-10 11:47:00","1"
"2293","44","0021003611","1","",".0100","0021003611","","2025-04-10 11:47:00","1"
