Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Old Part #
M-00688,"WEATHERING,PILE,.45 TALL W/ ADHESIVE",IN,0.35,0.18,,,,14-2279-05
M-00689,"WEATHERING,PILE,.45 TALL",IN,0.35,0.18,,,,
M-00690,"WEATHERING,PILE,.19 TALL X .187 WIDE",IN,0.35,0.18,,,,14-2279-04
M-00691,"WEATHERING,PILE,.45 TALL W/ FIN",IN,0.35,0.18,,,,
M-00695,"BRUSH, NYLON, .56 L (84"" pcs)",IN,0.95,0.48,,,,14-4899-60
M-00698,"BRUSH, NYLON, 1.5 (84"" pcs)",IN,0.95,0.48,,,,14-4899-90
M-00704,"ARM,LIMIT,MEDIUM STILE",EA,12.5,6.25,,,,21-8419
M-00706,"BRACKET,MOUNTING ,FIXED SIDELITE",EA,8.2,4.1,,,,14-11420
M-00709,"COVER, PLATE, BOTTOM GUIDE, FS",EA,32.0,16.0,,,,14-9047
M-00710,"BRACKET,FLOOR, LHFS",EA,55.0,27.5,,,,24-8037
M-00717,"FLOOR BRKT, RHFS",EA,55.0,27.5,,,,24-8038
M-00720,"BRACKETBTM GUIDE , RH",EA,23.0,11.5,,,,22-9041-10
M-00725,"BRKT, BTM GUIDE, FS",EA,19.0,9.5,,,,14-9043
M-00728,"BAR,RECT.,STEEL,1/4 X 3/4,1018",IN,1.47,0.74,,,,14-2741
M-00729,"BAR,RECT.,STEEL,1/4 X 1-1/2,1018",IN,1.47,0.74,,,,14-14805
M-00732,"BTM GUIDE BRKT ASM, LH",EA,13.2,6.6,,,,22-9041-20
M-00741,"BAR,RECT.,ALUM.,1-1/2 X 1-3/4,6061-T6",IN,4.76,2.38,,,,14-14801
M-00743,"BLOCK, SUPPORT, FO PIVOT",EA,14.0,7.0,,,,14-14048
M-00744,"PIVOT,BOTTOM,SWING PANEl,RH,1.55 WIDE",EA,86.0,43.0,,,,14-14038-10
M-00745,"PIVOT,BOTTOM,SWING PANEl,LH,1.55 WIDE",EA,86.0,43.0,,,,14-14038-20
M-00747,"ROLLER, ANGLE BRKT",EA,20.0,10.0,,,,14-5541
M-00748,"BAR,RECT.,DELRIN,1/2 X 1-1/2",IN,3.38,1.69,,,,14-1033
M-00749,"ROLLER,SPACER",EA,22.0,11.0,,,,14-5540
