Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Old Part #
M-01168,"HARNESS,EXTENSION,1175 SENSOR,24""",EA,14.5,7.25,,,,22-9267-02
M-01171-120,"SEAL,BULB,DUAL DUROMETER,120""",EA,59.0,29.5,,,,
M-01171-90,"SEAL,BULB,DUAL DUROMETER,90""",EA,44.0,22.0,,,,
M-01172,"END CAP,SIDELOAD,OHC,2 ACCESS HOLES,MILL",EA,25.0,12.5,,,,14-12024-03
M-01174,"CLIP,BASE,MULLION",EA,28.0,14.0,,,,14-9061
M-01175,"HARNESS,MOTOR,BRAKE MODULE,SWINGER",EA,64.0,32.0,,,,11-10280
M-01176,"PROTECTIVE STRIP,BUMP ON,108FT ROLL",IN,1.51,0.76,,,,14-3442
M-01177,"BRACKET,COVER,BTM LOAD",EA,14.5,7.25,,,,24-1849
M-01180,"OHC, BASE PIVOT",EA,62.0,31.0,,,,24-0747
M-01181,"TOP FRAME MOUNT, SUB - ASSY - SWINGER",EA,18.0,9.0,,,,22-1360
M-01182,"HARNESS,POWER,ROCKER SWITCH",EA,8.2,4.1,,,,14-10585
M-01183,"SHAFT,BASE PIVOT,OHL-UL PART",EA,104.0,52.0,,,,22-2049
M-01186,"BRACKET,MOUNTING ,PANIC,LATCH",EA,14.5,7.25,,,,14-6133
M-01188,"SPACER,RAIL,GLAS INST.,ALL GLASS",EA,10.2,5.1,,,,14-5896
M-01190,"HARNESS,HANDING MICROPROCESSOR",EA,41.0,20.5,,,,11-9208
M-01194,BUMPER - COME ALONG BRACKET,EA,15.0,7.5,,,,14-12068
M-01196,"ARM,OUTSWING,MILL",EA,51.0,25.5,,,,21-0711
M-01198,"STRIKE,PIN,ADAMS RITE",EA,9.5,4.75,,,,11-9565
M-01204,"BLOCK,PIVOT,OHC",EA,45.0,22.5,,,,24-0075
M-01206,"SPACER, DOWEL PIN GLASS INST. ,ALL GLASS",EA,4.76,2.38,,,,14-5965
M-01208,"ARM,BELL CRANK,OPERATOR",EA,163.0,81.5,,,,24-8976
M-01210,"GEAR,SPIRAL BEVEL RING,POWER ELECTRIC",EA,91.0,45.5,,,,14-8706-02
M-01212,"COVER,DOOR STOP,CLR",EA,8.2,4.1,,,,24-5187-01
M-01215,"GUIDE,LOCK,UPPER,HUR H60 MED STILES",EA,31.0,15.5,,,,14-10339
M-01219,"OPERATOR,MOUNT,BIFOLD,LH",EA,41.0,20.5,,,,21-8921
M-01220,"OPERATOR,MOUNT,WELDMENT,RH BI-FOLD",EA,48.0,24.0,,,,21-8920
M-01224,"SPRING,COMPRESSION,PANIC LATCH",EA,20.0,10.0,,,,14-6121-01
M-01225,"LINKAGE, 20IN ROD",EA,44.0,22.0,,,,22-8847-40
M-01227,"BAR,RND.,STEEL,3/4 DIA.,INCUT 200",IN,1.47,0.74,,,,
M-01229,"BRACKET,ROLLER COVER,BACKING",EA,49.0,24.5,,,,14-10755
M-01230,"COVER,THRESHOLD PLATE,5-1/4""",EA,25.0,12.5,,,,24-0742
M-01231,"PREVENTER BLOCK, DUST AND RODENT",EA,34.0,17.0,,,,14-13313
M-01232,"STRIKE,MOUNTING ,BLOCK,-COME ALONG",EA,22.0,11.0,,,,14-12065
M-01233,"BAR,RECT.,SS,.105 X 1-1/2 X 48,304",IN,2.95,1.48,,,,14-10785
M-01239,"GASKET,BLADE,1.00,GRAY",IN,0.81,0.41,,,,14-3933-01
M-01241,"GASKET,BLADE,.56,GRAY",IN,0.77,0.39,,,,14-5592-01
M-01243,"LINKAGE, 30IN ROD",EA,64.0,32.0,,,,22-8847-50
M-01244,"WEATHERING,BULB",IN,0.81,0.41,,,,14-8632
M-01245,"BRACKET,SWITCH,PANIC LATCH",EA,3.55,1.78,,,,14-6104
M-01247,"ROLLER,ANTI-RISE",EA,4.76,2.38,,,,14-14803
M-01254,"BAR,RECT.,STEEL,7/16 X 1,1018",IN,1.47,0.74,,,,14-1549
M-01263,"THRESHOLD,HEAVY DUTY,1/4"" X 5"",MIL",IN,4.45,2.23,,,,14-11970-03
M-01264,"LIMIT ARM,MEDIUM STILE,MACHINED",EA,19.0,9.5,,,,24-8849
M-01267,"PIVOT ,PANEL,LOCK BOLT",EA,58.0,29.0,,,,24-8937-10
M-01268,"PIVOT ,PANEL,LOCK BOLT",EA,58.0,29.0,,,,24-8937-20
M-01270,",RETAINER,BIFOLD,PIVOT BUSHING",EA,6.2,3.1,,,,14-13811
M-01275,"STATIC ARRESTOR,STRIP 4""",EA,3.23,1.62,,,,14-10907-01
M-01285,"GUARD, LOCK CYLINDER",EA,15.0,7.5,,,,14-9695
M-01286,"MOUNT BLOCK, END CAP - TRAIL DOOR",EA,18.0,9.0,,,,14-10245
M-01289,"BLOCK, ADAPTOR",EA,9.6,4.8,,,,14-8629
M-01291,"HUB,ROLLER,30MM",EA,62.0,31.0,,,,24-10024
M-01296,"BAR,RECT.,STEEL,5/8 X 1-3/8,1018",IN,6.4,3.2,,,,
M-01300,"ROD COVER,REINFORCEMENT,MILL",EA,228.0,114.0,,,,14-11808
M-01301,"OHC,CHANNEL,SIM PAIR,MIDDLE 4-1/2,204",EA,19.0,9.5,,,,24-0164-01
M-01302,"SNAP IN,CHANNEL,204,NO-FG",EA,22.0,11.0,,,,24-12034-11
M-01303,"SNAP IN,CHANNEL,204,W-FG",EA,22.0,11.0,,,,24-12034-21
M-01309,"BAR,RECT.,STEEL,3/8 X 1-3/8,1018",IN,1.47,0.74,,,,14-2731
M-01312,"BAR,SPLINED,OUTSWING ARM",EA,30.0,15.0,,,,24-0715
M-01313,"BAR,RECT.,ALUM.,3/8 X 1,6061-T6",IN,1.47,0.74,,,,14-1415
M-01314,"GUIDE,SPINDLE,UPPER ,BI-FOLD",EA,45.0,22.5,,,,14-8967 / 11-8967
M-01315,"BLOCK,MOUNTING ,LCN",EA,50.0,25.0,,,,14-10209
M-01323,"THRESHOLD,1/2 X 5,STEPPED,MILL,EXTRU",IN,3.0,1.5,,,,14-11572-03
M-01327,"SPACER,SIDE",EA,4.76,2.38,,,,24-0743
M-01328,"BAR,RECT.,STEEL,7/8 X 1-3/4,1018",IN,6.4,3.2,,,,
M-01330,"ARM,SWING,OHC, MILL",EA,108.0,54.0,,,,24-0585-03
M-01331,"SCREW,PIVOT,OHC ARM,1/2""-20 THD",EA,14.5,7.25,,,,24-0744
M-01335,"ARM, BELL CRANK, BI-FOLD SPINDLE",EA,75.0,37.5,,,,14-8985
M-01337,"SPACER,OHC TRACK,3/16""",EA,36.0,18.0,,,,24-5105
M-01338,"PUSH ROD,SINGLE FOLD",EA,60.0,30.0,,,,14-5890
M-01341,"WASHER,SFTY ROLLER,3/4IDX2.69ODX.10THK",EA,2.95,1.48,,,,14-9033
M-01342,"SPACER,OHC TRACK,3/8""",EA,89.0,44.5,,,,24-0507
M-01344,"CLIP,RAIL,F86,L-CLIP",EA,11.2,5.6,,,,14-12379
M-01345,"BAR,RECT.,ALUM.,1/4 X 1-3/4,6061-T6",IN,1.47,0.74,,,,14-1324
M-01354,"BLOCK, TIEROD- ALUM, 1"" X .5""",EA,59.0,29.5,,,,14-9293
M-01357,2 X 1 X 1/8ALUMINUM,IN,1.47,0.74,,,,
M-01364,"BAR,RECT.,STEEL,7/16 X 1-1/4,1018",IN,2.17,1.09,,,,14-14357
M-01366,"PINION GEAR,SPIRAL BEVEL,POWER ELECTRIC",EA,44.0,22.0,,,,14-5574-02
M-01368,"FLOOR BRACKET, TELESCOPIC FS",EA,72.0,36.0,,,,14-10756
M-01370,"TUBE,ALUM.,1/2 X 1 X 1/8,EXTRU",IN,1.08,0.54,,,,14-4846
M-01372,"C.U.,SIMULTANEOUS PAIR,STRIKE BASE,7""",EA,130.0,65.0,,,,24-0157-01
M-01374,"STRIKE,BASE,OHC,SINGLE,204,3.25""",EA,85.0,42.5,,,,24-0158-01
M-01378,"ADAPTERBLOCK, NO PANIC DOOR - .125 WALL",EA,159.0,79.5,,,,14-5940-10
M-01379,"END CAP,BOTTOM LOAD,OHC,MILL",EA,55.0,27.5,,,,24-1523-03
M-01386,"BRACKET,FRAME,7IN TRAN",EA,16.0,8.0,,,,24-1319
M-01388,"GUIDE,ROD,FLUSH BOLT",EA,34.0,17.0,,,,14-5506
M-01389,"PULL HANDLE,MACHINED,MILL",EA,69.0,34.5,,,,24-5473-01
M-01391,"PULLEY,TIMING,IDLER-LEAD DOOR,5MM TEL",EA,133.0,66.5,,,,14-10095
M-01393,"BRACKET,CONNECTOR,H TERMINAL",EA,19.0,9.5,,,,14-9038
M-01403,"TUBE,ALUM.,SQ.,2-1/2 X 2-1/2 X 1/8",IN,2.03,1.02,,,,10-0440
M-01405,"JUMPER,PLUG IN",EA,2.95,1.48,,,,14-8195
M-01410,"CABLE,H TERMINAL",EA,244.0,122.0,,,,14-8903-99
M-01411,"SLEEVE,GUIDE,UPPER,CENTER PIVOT",EA,10.1,5.05,,,,14-5089-1
M-01414,PIVOT BOTTOM: 2100 ICU,EA,48.0,24.0,,,,12-10722
M-01417,LABEL:ON-OFF SWITCH:120V,EA,2.95,1.48,,,,14-10689
M-01418,SWITCH:ROCKER:FACE PLATE,EA,14.5,7.25,,,,
M-01424,"LABEL,USE COPPER CONDUCTORS ONLY",EA,1.47,0.74,,,,14-8667
M-01457,CONTROL BOX: 300/400,EA,1011.0,505.5,,,,41-1512
M-01463,THRSHLD:1/4X6:SADDLE:MILL:EXTRU.NO HOLES,IN,3.54,1.77,,,,14-10564-03
M-01464,"END CAP,SIDELOAD,W/ ACCESS HOLE,MILL",EA,19.0,9.5,,,,14-12023-03
M-01468,"BAR,ANGLE,ALUM.,1/2 X 1 X 1/8,6063-T5",IN,1.47,0.74,,,,14-11602
M-01472,"BRACKET,COVER,FS TELESCOPIC",EA,6.6,3.3,,,,14-10516
M-01475,LIMIT STOP:C.U.,EA,63.0,31.5,,,,21-0700
M-01476,"ADJUSTER,GLASS,SWING DOOR",EA,43.0,21.5,,,,14-5385
M-01478,"ARM,WELDMENT,INSWING,7-3/4,RH",EA,146.0,73.0,,,,22-10328-13
M-01479,BAR:VERTICAL:INSWING ARM,EA,15.0,7.5,,,,24-0719
M-01482,"ARM,WELDMENT,INSWING,11-1/2,RH",EA,153.0,76.5,,,,22-10328-23
M-01483,"ARM,WELDMENT,INSWING,15-3/4,RH;MILL",EA,180.0,90.0,,,,22-10328-33
M-01485,"BAR,RECT.,ALUM.,5/16 X 1-1/2,6061-T6",IN,1.47,0.74,,,,14-3072
M-01488,PLATE:MOUNTING :RELAY,EA,15.0,7.5,,,,24-10679-02
M-01490,"BLOCK,STOP,NON-PANIC",EA,18.0,9.0,,,,24-0740
M-01491,BELT: .500 PITCH: H PROFILE,IN,0.65,0.33,,,,14-0795
M-01492,"ARM,WELDMENT,INSWING,7-3/4,LH",EA,146.0,73.0,,,,22-10327-13
M-01493,"ARM,WELDMENT,INSWING,11-7/2,LH",EA,153.0,76.5,,,,22-10327-23
M-01494,"ARM,WELDMENT,INSWING,15-3/4,LH",EA,163.0,81.5,,,,22-10327-33
M-01505,"BAR,RND.,STEEL,3/16 DIA.,1018",IN,1.47,0.74,,,,
M-01506,"BUMPER,LEVER,PANIC LATCH",EA,1.47,0.74,,,,14-6125
M-01516,"GASKET,BULB,DUAL DUROMETER",IN,1.47,0.74,,,,
M-01518,LATCH BLOCK,EA,34.0,17.0,,,,14-8964
M-01519,"MAGNETIC POLE PIECE,WITH LIP",EA,44.0,22.0,,,,14-8962
M-01520,MAGNETIC POLE PIECE,EA,28.0,14.0,,,,14-8963
M-01524,"BRACKET,END,CU",EA,33.0,16.5,,,,24-9907-03
M-01526,"BRUSH,NYLON,1 LG (96"" L)",IN,1.47,0.74,,,,14-4899-100
M-01527,"LOCK ARM,TELESCOPING",EA,30.0,15.0,,,,14-10824
M-01529,"SHAFT, BOTTOM GUIDE,DBL ROLLER",EA,19.0,9.5,,,,14-9040
M-01541,"BAR,RISER,CENTER PIVOT",EA,7.1,3.55,,,,24-0707
M-01545,"ARM,WELDEMENT,INSWING,14-1/4,RH,MILL",EA,127.0,63.5,,,,22-3565-03
M-01546,"CONTROLLER,OPUS, W/O HARNESS",EA,568.0,284.0,,,,24-14851
M-01549,"ARM,WELDMENT,INSWING,14-1/4,LH,MILL",EA,127.0,63.5,,,,22-3566-03
M-01550,"ARM,INSWING,ZERO REVEAL,MILL",EA,81.0,40.5,,,,21-0712-03
M-01551,"PIN,ALIGNMENT",EA,2.95,1.48,,,,14-11863
M-01552,"SPACER,.194 ID X .25 OD X 1.023L.,SS304",EA,14.5,7.25,,,,14-8965
M-01556,"HARNESS,Y,SWITCH AND MOTOR",EA,136.0,68.0,,,,22-0087
M-01557,"COVER,TIE PLATE",EA,34.0,17.0,,,,14-13198
M-01563,"MTG BLOCK,LCN CLOSER",EA,17.0,8.5,,,,14-5228
M-01564,"ROLLER,LCN DOOR CLOSER",EA,30.0,15.0,,,,14-8486
M-01568,"ARM,WELDMENT,INSWING,NABTESCO,LH,MILL",EA,240.0,120.0,,,,22-10534-03
M-01570,"ARM,WELDMENT,INSWING,NABTESCO,RH,MILL",EA,240.0,120.0,,,,22-10533-03
M-01571,"BAR,RECT.,ALUM.,1/2 X 1,6061-T6",IN,1.47,0.74,,,,14-1691
M-01582,"BAR,ANGLE,ALUM.,4 X 3 X 1/4,6061-T6",IN,3.23,1.62,,,,14-12820
M-01601,"BAR,RADIUSED,INSWING ARM",EA,45.0,22.5,,,,24-3564
M-01602,"BAR,VERTICAL,DBL EGRESS ARM",EA,6.4,3.2,,,,
M-01603,"BAR,RADIUSED,OUTSWING ARM",EA,46.0,23.0,,,,24-0717-03
M-01604,"ARM,WLDMNT,DBL EGRESS,OUTSWING,MILL",EA,128.0,64.0,,,,21-14423-03
M-01605,"BAR,RADIUSED,INSWING ARM,7-3/4 L",EA,46.0,23.0,,,,24-10326-10
M-01606,"BAR,RADIUSED,INSWING ARM,11-1/2 L",EA,46.0,23.0,,,,24-10326-20
M-01607,"BAR,RADIUSED,INSWING ARM,15-3/4 L",EA,46.0,23.0,,,,24-10326-30
M-01608,"BAR,RADIUSED,INSWING ARM,20-1/2 L",EA,46.0,23.0,,,,
M-01610,"BAR SPLINED, INSWING ARM,10IN",EA,6.4,3.2,,,,
M-01619,"BRACKET,THRESHOLD,FS,RH,TTC",EA,50.0,25.0,,,,
M-01620,"BRACKET,THRESHOLD,FS,LH,TTC",EA,50.0,25.0,,,,
M-01624,"BRACKET,POWER SUPPLY,1175",EA,31.0,15.5,,,,24-14806
M-01625,"KIT,HARNESS,POWER SUPPLY",EA,13.9,6.95,,,,14-14807
M-01632,"""BRACKET,F86 PUSHBAR STOP""",EA,7.7,3.85,,,,14-13197
M-01646,"PIPE,WATER,STEEL,1/2",IN,115.0,57.5,,,,24-8978
M-01647,"PUSH ROD,END PLUG,3/8-24,LH THREAD",EA,17.0,8.5,,,,14-8980
M-01648,"PUSH ROD,END PLUG,3/8-24,RH THREAD",EA,17.0,8.5,,,,14-8981
M-01653,BULB SEAL;VERTICAL VINYL,IN,2.48,1.24,,,,14-13951
M-01666,"CABLE,EXTENSION;ROCKER SWITCH;72",EA,48.0,24.0,,,,22-9186-02
M-01675,SWITCH;PUSH-N-GO;MICROSWITCH,EA,49.0,24.5,,,,14-8732
M-01680,"HARNESS,SIM PAIR,39,OPUS",EA,14.5,7.25,,,,
M-01682,"BAR,RECT.,UHMW,1/4 X 1-3/8",IN,1.47,0.74,,,,14-5815
M-01687,OPERATOR;GT710;W- ENCODER;NO CLOSER,EA,910.0,455.0,,,,
M-01694,FISHPAPER;1DIA.,EA,6.4,3.2,,,,
M-01695,FISHPAPER;11/16X2-1/16,EA,6.4,3.2,,,,
M-01700,"PLATE,BRAKE MODULE,OPUS",EA,6.4,3.2,,,,
M-01701,"INSULATOR,BRAKE MODULE,OPUS",EA,6.4,3.2,,,,
M-01708,"BAR,RND.,STEEL,5/8 DIA.,1018 CRS",IN,9.0,4.5,,,,14-2740
M-01717,"BAR,RECT.,DELRIN,3/8 X 3/4",IN,13.2,6.6,,,,
M-01725,"CABLE,SIM PAIR,GT20",EA,32.0,16.0,,,,
M-01729,"PLATE,SLIDER,OPUS RETROFIT",EA,14.2,7.1,,,,
M-01735,"PLATE,BOTTOM LOAD,OPUS",EA,24.0,12.0,,,,
M-01736,"BRACKET,BIFOLD,OPUS",EA,61.0,30.5,,,,
M-01737,"PLATE,CONTROLS,OHC,GT20",EA,24.0,12.0,,,,
M-01739,"HARNESS,POWER,OHC,GT20",EA,31.0,15.5,,,,
M-01740,"CABLE,ENCODER,OHC,GT20",EA,34.0,17.0,,,,
M-01741,"CABLE,SWITCH,OHC,GT20",EA,25.0,12.5,,,,
M-01747,"SWITCHPLATE,2 ROCKER SWITCHES,BIFOLD",EA,34.0,17.0,,,,14-9824
M-01767,"TUBE,RUBBER,ROUND,.25 OD X.190 ID.",IN,1.47,0.74,,,,14-9435
M-01779,PULLEY;SPLINED;DS150,EA,31.0,15.5,,,,14-11851
M-01781,"GASKET,BULB,1/4 X 1/2,SANTOPRENE",IN,1.47,0.74,,,,14-14301
M-01784,"BAR,RECT.,ALUM.,1/4 X 4,6061-T6",IN,1.87,0.94,,,,14-3794
M-01791,"ARM,INSWING,RIGHT ANGLE,GT20",EA,285.0,142.5,,,,
M-01799,"LABEL, UL CSA (NO ADDRESS)",EA,1.47,0.74,,,,14-12288
M-01800,"LABEL,UL,FIRE DOOR,ROYAL DOOR",EA,5.8,2.9,,,,
M-01801,"LABEL,UL,FIRE DOOR,MUSKEGO",EA,5.8,2.9,,,,14-13066
M-01802,"BAR,RND.,NYLATRON,1-1/2 DIA.",IN,3.07,1.54,,,,
M-01805,"BAR,RECT.,ALUM.,5/16 X 3,6061-T6",IN,2.03,1.02,,,,
M-01809,"RUBBER,MASTICATED1/2 X 3/4,BLK",IN,1.47,0.74,,,,
M-01812,"BAR,RECT.,ALUM.,1/2 X 3/4,2024-T351",IN,6.2,3.1,,,,14-3071
M-01828,"TAPE,DOUBLE SIDED,FOAM,.125 X .750",IN,0.76,0.38,,,,
M-01840,"BAR,ANGLE,ALUM.,2 X 1-1/2 X 1/8,6061-T6",IN,46.0,23.0,,,,14-14436
M-01841,"PLATE, SWITCH - BLANK",EA,12.1,6.05,,,,14-14397
M-01844,"HARNESS,SIM PAIR,75,OPUS",EA,7.3,3.65,,,,
M-01848,"DECAL, IN EMERGENCY SLIDE TO OPEN",EA,25.0,12.5,,,,24-13915
M-01932,"GASKET,COMPRESSION,FOAM",IN,0.78,0.39,,,,
M-01963-10,"BRACKET,ANGLE,BOTTOM GUIDE,RH,2400",EA,36.0,18.0,,,,
M-01963-20,"BRACKET,ANGLE,BOTTOM GUIDE,LH,2400",EA,36.0,18.0,,,,
M-01964-20,"PLATE,FLOOR,LH,ICU",EA,68.0,34.0,,,,
M-01966,"RECEIVER,BOTTOM GUIDE,ICU",EA,36.0,18.0,,,,
M-01968,"BLOCK,STRIKE,LATCH ASM,2400",EA,28.0,14.0,,,,
M-01972,"ARM,LIMIT,2400",EA,18.0,9.0,,,,
M-01973-01,"GUIDE,LIMIT ARM,2400T",EA,12.5,6.25,,,,
M-01987,"GASKET,BLADE,1.00,BLACK,SMOKE RATED",IN,0.72,0.36,,,,
M-01994,"PLATE,JAMB,POSITIVE LATCH",EA,32.0,16.0,,,,
M-02017,"PLATE,MTG,SENSOR,BI-FOLD,ACUSENSOR M",EA,37.0,18.5,,,,
M-02035,"BRACKET,MOUNTING,VS-150",EA,31.0,15.5,,,,
M-02036,"BRACKET,IDLER PULLEY,VS-150",EA,34.0,17.0,,,,
M-02037,"BRACKET,BELT CLIP,VS-150,TELESCOPIC",EA,43.0,21.5,,,,
M-02038,"BRACKET,BELT CLIP,VS-150",EA,23.0,11.5,,,,
M-02039,"SPACER,BELT CLIP,VS-150",EA,2.34,1.17,,,,
M-02040,"RETAINER,WIRING",EA,3.56,1.78,,,,
M-02042,"HARNESS,POWER,1175,OPUS",EA,28.0,14.0,,,,
M-02043,"HARNESS,MAIN,1175,OPUS",EA,115.0,57.5,,,,
M-02044,"KIT,HARNESS,ELECTRIC LOCK,1175,OPUS-2pcs",EA,60.0,30.0,,,,
M-02045,"SPACER,INSWING TRACK,LONG,710",EA,30.0,15.0,,,,
M-02046,"HARNESS,MAIN,1175,OPUS,TELESCOPIC",EA,112.0,56.0,,,,
M-02047,"HARNESS,""Y"",BREAKOUT",EA,37.0,18.5,,,,
M-02048,"BRACKET,OPUS,TELESCOPIC",EA,82.0,41.0,,,,
M-02049,"BRACKET,MOUNTING,VS-150,TELESCOPIC",EA,82.0,41.0,,,,
M-02056-01,"PULLEY,40 TEETH,2:1 REDUCER,TELESCOPIC",EA,196.0,98.0,,,,
M-02056-02,"PULLEY,20 TEETH,2:1 REDUCER,TELESCOPIC",EA,101.0,50.5,,,,
M-02064,"HARNESS,EXTENSION,1175 SENSOR,38""",EA,19.0,9.5,,,,
M-02087-01,"PAD,FOAM,3/8 X 1-3/4 X 2",EA,1.14,0.57,,,,
M-02129,"GASKET,WEDGE,.250 FC (Lvl E)",IN,0.71,0.36,,,,
M-02131,"T-BOLT,HHCS,5/16-18X1.00L.,GRADE 2,ZINC",EA,8.1,4.05,,,,
M-02162,"""BRUSH,NYLON,1-3/8 LG,PEMKO #18137CNB""",IN,2.16,1.08,,,,
M-02190,"BAR,NUT,SWING,NH,OPERATOR",EA,12.0,6.0,,,,
M-02191,"BAR,NUT,SWING,NH,OPUS",EA,12.0,6.0,,,,
M-02192,"GLIDE BLOCK,ARM,SWING,NH,INSWING",EA,4.73,2.37,,,,
M-02194,"CLIP,COVER,SPRING,SWING,NH,THREAD",EA,13.2,6.6,,,,
M-02207,"PLATE,MTG,SENSOR,BI-FOLD,I-ONEX T",EA,96.0,48.0,,,,
M-02208,"SPACER,MTG,SENSOR,BI-FOLD,I-ONEX T",EA,305.0,152.5,,,,
M-02213,"COVER,WIRE,SWING,NH,3-3/8""",EA,1.66,0.83,,,,
M-02216,"CLIP,RAIL,10"" BOTTOM RAIL,MOLDED",EA,7.6,3.8,,,,
M-02249-10,"BRACKET,ANGLE,BOTTOM GUIDE,RH,2400T",EA,49.0,24.5,,,,
M-02249-20,"BRACKET,ANGLE,BOTTOM GUIDE,LH,2400T",EA,49.0,24.5,,,,
M-02311,"LABEL,HOLE COVER,SWING,NH",EA,5.9,2.95,,,,
M-02313,"COVER,SLEEVE,SPINDLE,SWING,NH,SPACER",EA,2.96,1.48,,,,
M-02313-10,"COVER,SLEEVE,SPINDLE,SWING,NH,SPACER,1""",EA,2.96,1.48,,,,
M-02320,"HARNESS,iOT,CONNECT,SWING,NH,STD",EA,30.0,15.0,,,,
M-02320-10,"HARNESS,iOT,CONNECT,SWING,NH,LONG",EA,36.0,18.0,,,,
M-02363,"BRKT,CENTER SUPPORT,1175,ACUSENSOR C",EA,22.0,11.0,,,,
M-02375,"ROD,THREADED,#12-24,ZINC",IN,0.46,0.23,,,,
M-60249,"JAMB,1-3/4 X 6-3/8,CLEAR,EXTRU",IN,4.76,2.38,,,,14-3184-011
M-60250,"GLASS STOP,BASE,CLEAR,EXTRU",IN,0.65,0.33,,,,14-2336-011
M-60255,"GLASS STOP,TOP,1/2"" TALL,204,EXTRU",IN,0.65,0.33,,,,14-2339-011
M-60256,"CARRIER,CLEAR,EXTRU",IN,2.32,1.16,,,,14-9014-011
M-60258,"THRESHOLD,1/2 X 4-1/2,FO,CLEAR,EXTRU",IN,2.03,1.02,,,,14-9016-011
M-60260,"THRESHOLD,RAMP,1/2 X 1-1/4,CLEAR,EXTRU",IN,0.95,0.48,,,,14-9017-011
M-60264,"RAIL,4 IN,CLEAR,EXTRU",IN,2.95,1.48,,,,14-9085-011
M-60265,"GLASS STOP,1 TALL,SNAP IN,CLEAR,EXTRU",IN,0.65,0.33,,,,14-2335-011
M-60266,"GLASS STOP,SCREW DOWN, BASE,CLEAR,EXTRU",IN,0.65,0.33,,,,14-2337-011
M-60267,"RAIL,6.5 IN.,CLEAR,EXTRU",IN,4.29,2.15,,,,14-9088-011
M-60268,"GLASS STOP,TOP,1 TALL,CLEAR,EXTRU",IN,0.65,0.33,,,,14-2338-011
M-60270,"RAIL,4 IN.,TOP DOOR,CLEAR,EXTRU",IN,2.78,1.39,,,,14-9359-011
M-60273,"STILE,MED,SIDE WEATHER,4IN,CLEAR,EXTRU",IN,2.78,1.39,,,,14-9433-011
M-60275,"STILE,MEDIUM,DBL.WEATHER,4 IN,CLEAR,EXTR",IN,1.87,0.94,,,,14-9434-011
M-60276,"RAIL,10 IN.,CLEAR,EXTRU",IN,4.76,2.38,,,,14-5526-011
M-60277,"MUNTIN 2"", CLEAR,EXTRU",IN,1.47,0.74,,,,14-9501-011
M-60278,"HOLDER,WEATHERING BRUSH,CLEAR,EXTRU",IN,0.95,0.48,,,,14-5636-011
M-60283,"JAMB,1-3/4 X 4-1/2,CLEAR,EXTRU",IN,1.47,0.74,,,,24-2497-011
M-60285,"COVER,HEADER,1175,CLEAR,EXTRU",IN,2.78,1.39,,,,24-9011-011
M-60285-122,"COVER,HEADER,1175,CLEAR,EXTRU",EA,243.0,121.5,,,,
M-60285-146,"COVER,HEADER,1175,CLEAR,EXTRU",EA,300.0,150.0,,,,
M-60285-170,"COVER,HEADER,1175,CLEAR,EXTRU",EA,350.0,175.0,,,,
M-60285-264,"COVER,HEADER,1175,CLEAR,EXTRU",EA,530.0,265.0,,,,
M-60285-98,"COVER,HEADER,1175,CLEAR,EXTRU",EA,204.0,102.0,,,,
M-60286,"STILE,NAR, DOUBLE WEATHERING,CLEAR,EXTRU",IN,2.17,1.09,,,,14-8922-011
M-60287,"JAMB,1-3/4 x 4-1/2,SGL. PKT,204,EXTRU",IN,2.32,1.16,,,,24-9870-011
M-60288,"INTERFACE LEG,CLEAR,EXTRU",IN,0.48,0.24,,,,14-9015-011
M-60289,"THRESHOLD,1/2 X 1-7/8,204,EXTRU",IN,1.25,0.63,,,,14-9018-011
M-60290,"JAMB,1-3/4 x 4-1/2,DBL. PKT,204,EXTRU",IN,2.17,1.09,,,,24-9874-011
M-60292,"HEADER,1175,204,EXTRU",IN,6.4,3.2,,,,24-13163-011
M-60292-122,"HEADER,1175,215,EXTRU,122",EA,761.0,380.5,,,,
M-60292-146,"HEADER,1175,215,EXTRU,146",EA,913.0,456.5,,,,
M-60292-170,"HEADER,1175,215,EXTRU,170",EA,1081.0,540.5,,,,
M-60292-264,"HEADER,1175,215,EXTRU,264 INCHES",EA,1688.0,844.0,,,,
M-60292-98,"HEADER,1175,215,EXTRU,98",EA,619.0,309.5,,,,
M-60293,"STILE,NARROW,SGL. WEATHERING,204,EXTRU",IN,2.17,1.09,,,,14-9086-011
M-60294,"RAIL,5 IN,CLEAR , EXTRU.",IN,2.32,1.16,,,,14-9087-011
M-60296,"FILLER,POCKETED JAMB,CLEAR,EXTRU",IN,0.48,0.24,,,,14-9875-011
M-60297,"THRESHOLD,1/2 X 5,SADDLE,204,EXTRU",IN,2.03,1.02,,,,14-10761-011
M-60298,"GLASS STOP,BASE,POCKETED JAMB,204,EXTRU",IN,0.65,0.33,,,,24-13359-011
M-60302,"THRESHOLD,1/4 X 7,SADDLE,204,EXTRU",IN,2.65,1.33,,,,14-11300-011
M-60304,"STILE,MED,H105,SGL. WEATHER,CLEAR,EXTRU",IN,2.32,1.16,,,,14-13288-011
M-60306,"STILE,MED,H105,DBL. WEATHER,CLEAR,EXTRU",IN,2.32,1.16,,,,14-13289-011
M-60312,"JAMB,2 X 5,CLEAR,EXTRU",IN,4.01,2.01,,,,24-0311-011
M-60313,"JAMB,2 X 7,CLEAR,EXTRU",IN,4.15,2.08,,,,24-0321-011
