Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Net Before Tariff
10ACPBDA6,"Switch, Delayed Action BLUE HC 2"" SINGLE GANG",EA,494.38,174.42,,,,164.55
10ACPBDA7,"10ACPBDA7 -- Switch, Delayed Action BLUE HC 1 5/8"" Jamb",EA,489.89,172.62,,,,162.85
10ACPBDA8,"Switch, Delayed Action BLUE HC 1 5/8"" SINGLE GANG",EA,494.38,174.42,,,,164.55
10ACPBDA9,"10ACPBDA9 -- Switch, Delayed Action GREEN PTE 2"" Jamb",EA,489.89,172.62,,,,162.85
10ACPBSS1,10ACPBSS1... ACCESS CONTROL,EA,70.79,32.88,,,,31.02
10ARS,"10ARS, Indicator, ""Assistance Required"" with Signal",EA,247.19,115.98,,,,109.41
10BEAMBOX,BEAMBOX Sensor with Cable,EA,873.94,412.34,,,,389.0
10BELTCLIP,Belt Clip for Industrial Wireless Transmitters,EA,10.11,4.48,,,,4.23
10BGQD,"Quick Disconnect, Bodyguard 78"""" Harness with QD for BGIII",EA,20.85,9.59,,,,9.05
10BODYGUARDT,BodyguardT Presence Sensor,EA,511.31,269.67,,,,254.4
10BODYMNT,Bodyguard Mounting Kit,EA,56.31,26.96,,,,25.43
10BOLLARDBLK,"Post,Black,S/S Push Plate,4.5"""" Round or 4.75"""" Square",EA,478.59,227.64,,,,214.76
10BOLLARDBLKWOH,"Post, Black Bollard w/o Hole 6"""" Round or 4.75"""" Square",EA,465.1,221.66,,,,209.12
10BOLLARDBRZ,"Post Bronze,S/S Push Plate,4.5 Round or 4.75"""" Square",EA,478.59,227.64,,,,214.76
10BOLLARDBRZWOH,"Post, Bronze Bollard w/o Hole 6"""" Round or 4.75"""" Square",EA,465.1,221.66,,,,209.12
10BOLLARDSLV,"Post Silver,S/S Push Plate,4.5 Round or 4.75"""" Square",EA,478.59,227.64,,,,214.76
10BOLLARDSLVWOH,"Post, Silver Bollard w/o Hole 6"""" Round or 4.75"""" Square",EA,465.1,221.66,,,,209.12
10BOX24SGSM,"Box, Single Gang Surface Mount Black Plastic",EA,34.58,16.01,,,,15.1
