Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Addison Price,Door Controls Price,Best Source
4-51-0013,Door Catch Ass'y. - L.H.,EACH,78.0,52.98,,,,,167.44,52.9815
4-51-0014,Door Catch Ass'y. - R.H.,EACH,78.0,52.98,,,,,167.44,52.9815
4-51-0015,Interlock Ass'y. - L.H. Parts orders only,EACH,108.0,73.36,,,,79.9,99.36,73.359
4-51-0016,Interlock Ass'y. - R.H. Parts orders only,EACH,108.0,73.36,,,,79.9,99.36,73.359
4-51-0017,"Plate Sub-Ass'y., Carrier Roller",EACH,81.0,55.02,,,,,,55.01924999999999
4-51-0018,"Carrier Ass'y., Telescope Primary Door, Slave",EACH,421.0,285.96,,,,,387.32,285.96425
4-51-0019,"Carrier Ass'y., Telescope Primary Door, Belt",EACH,486.0,330.12,,,,,447.12,330.1155
4-51-0020,Door Stop Ass'y.,EACH,21.0,14.26,,,,,19.32,14.264249999999999
4-51-0022,"Slave Pulley Ass'y. ""B"" (Leading End)",EACH,286.0,194.27,,,,,,194.2655
4-51-0023,"Slave Pulley Ass'y. ""A"" (Leading End)",EACH,286.0,194.27,,,,,263.12,194.2655
4-51-0024,"Slave Pulley Ass'y. ""B"" (Pivot End)",EACH,286.0,194.27,,,,,263.12,194.2655
4-51-0025,"Slave Pulley Ass'y. ""A"" (Pivot End)",EACH,286.0,194.27,,,,,248.31,194.2655
4-51-0028,Toe Roller Ass'y.,EACH,135.0,91.7,,,,,124.2,91.69874999999999
4-51-0093,Bottom Guide Ass'y. (Hurricane Rated Sliders),EACH,387.0,262.87,,,,250.75,227.13,227.13
4-51-0093-CL,"Bottom Guide Ass'y., Hurricane Rated Slider, w/CL Hardware",EACH,395.0,268.3,,,,,,268.30375
4-51-0093-DB,"Bottom Guide Ass'y., Hurricane Rated Slider, w/DB Hardware",EACH,395.0,268.3,,,,,,268.30375
4-51-0095,Roller Catch Ass'y.,EACH,81.0,55.02,,,,55.25,80.52,55.01924999999999
4-51-0096,Roller Catch & Panic Switch Magnet Ass'y.,EACH,94.0,63.85,,,,90.0,86.48,63.8495
4-51-0099,"Seal, Sway Rail End Cap",EACH,15.0,10.19,,,,,,10.188749999999999
4-51-0105,"Control Module, Dual Rocker Switch",EACH,950.0,645.29,,,,797.3,874.0,645.2874999999999
4-51-0106,"Control Module, Rocker/Key Switch",EACH,950.0,645.29,,,,,874.0,645.2874999999999
4-51-0141,"Housing Ass'y., Power Supply Sub-Ass'y Part",EACH,32.0,21.74,,,,,,21.736
4-51-0142,"Power Supply Ass'y (5100 Ser.) 110 v, System 20",EACH,595.0,404.15,,,,539.0,,404.15374999999995
4-51-0144,Motordrive / Plate Ass'y. (System 20),EACH,2693.0,1829.22,,,,,2477.56,1829.2202499999999
4-51-0150,Pin Guide Threshold Ass'y.- LH,EACH,293.0,199.02,,,,,,199.02025
4-51-0151,Pin Guide Threshold Ass'y.- RH,EACH,293.0,199.02,,,,,,199.02025
4-51-0165-BL,"Seal, Door Bottom (Clean Room) BLACK ANO-FROM 9-99-5426 W/0",EACH,189.0,128.38,,,,,,128.37825
4-51-0166,"Slide Track Ass'y., Sidelite (Parts Orders)",EACH,77.0,52.3,,,,,70.84,52.30225
4-51-0500,"Harness, Elect. Lock Extension 2 Ft.",EACH,88.0,59.77,,,,,,59.774
4-51-0501,"Harness, Elect. Lock Extension 3 Ft.",EACH,99.0,67.25,,,,,,67.24575
4-51-0502,"Harness, Elect. Lock Extension 4 Ft.",EACH,113.0,76.76,,,,,,76.75525
4-51-0503,"Wire Harness, 2nd. Motor, Dual Motor Unit",EACH,214.0,145.36,,,,,196.88,145.3595
4-51-0504,"Wire Harness, Power Supply, Dual Motor Unit",EACH,10.0,6.79,,,,,,6.7924999999999995
4-51-0810,"Kit ""A"", Pulley, Secondary Door, Telescope Slider",EACH,730.0,495.85,,,,,,495.85249999999996
4-51-0811,"Kit ""B"", Pulley, Secondary Door, Telescope Slider",EACH,730.0,495.85,,,,,,495.85249999999996
4-51-0812,"Kit, Battery Backup, Lead Acid (System 19 & 20 Products)",EACH,824.0,559.7,,,,,947.6,559.702
4-51-0817,"Kit, Enclosure (Molded) - Display Control Panel",EACH,77.0,52.3,,,,,,52.30225
4-51-0818,"Control Module, Display Molded Check for Proper SOFTWARE*****",EACH,937.0,636.46,,,,,862.04,636.45725
4-51-0819,"Kit, Beam Set, Safety Hold (Cedes with Molded Connectors)",EACH,609.0,413.66,,,,433.5,560.28,413.66325
4-51-0820-CL,"Kit, Schlage IC Cylinder (Housing, Green Core & Keys)",EACH,398.0,270.34,,,,,,270.3415
4-51-0821,"Terminal Bar Ass'y., Alarm Contact",EACH,173.0,117.51,,,,,,117.51025
4-51-0822,"Kit, Alarm Contacts, SO Panel Breakout",EACH,173.0,117.51,,,,,,117.51025
4-51-0823-P,"Kit, Alarm Contacts, O Panel Breakout, Under 48"" PW, Parts",EACH,173.0,117.51,,,,,,117.51025
4-51-0824,"Kit, Alarm Contacts, Door Open / Door Closed",EACH,173.0,117.51,,,,,,117.51025
4-51-0826,"Kit, System 20 Drive Module (110V)",EACH,7046.0,4786.0,,,,,,4785.9955
4-51-1001,"Bracket, Belt Base",EACH,24.0,16.3,,,,34.0,22.08,16.302
4-51-1002,"Bracket, Belt Clasp",EACH,22.0,14.94,,,,34.0,20.24,14.9435
4-51-1003,"**DNU** Bracket, Torque Tube Support",EACH,47.0,31.92,,,,,43.24,31.92475
4-51-1004,"Bracket, Conduit Anchor",EACH,14.0,9.51,,,,,,9.5095
4-51-1005,"Bracket, Cover Attachment",EACH,25.0,16.98,,,,,,16.98125
4-51-1009,"Bracket, Idler Pulley Rev. A",EACH,35.0,23.77,,,,,,23.77375
4-51-1010,"Bracket, Sidelite Strike",EACH,33.0,22.42,,,,,18.98,18.98
4-51-1011,"Bracket, Mounting (Flush Panic Device Housing)",EACH,54.0,36.68,,,,,,36.6795
4-51-1012,"Bracket, Jamb/Mullion Mount",EACH,40.0,27.17,,,,,,27.169999999999998
4-51-1015,"Plate, Header Mounting Brkt. (Wide Pocket Side Jambs)",EACH,29.0,19.7,,,,,,19.69825
4-51-1016,"Plate, Lock Strike (Wide Pocket Side Jambs)",EACH,33.0,22.42,,,,,,22.415249999999997
4-51-1017,"Spacer, Carrier Roller",EACH,1.0,0.68,,,,,,0.67925
4-51-1021,"Axle, Carrier Roller Rev. A",EACH,9.0,6.11,,,,,,6.11325
4-51-1023,"Plate, Nut (Slave Carrier Belt Clamp - Telescope)",EACH,50.0,33.96,,,,,,33.9625
4-51-1024,"Plate, Nut (Slave Pulley - Telescope)",EACH,54.0,36.68,,,,,,36.6795
4-51-1025,"Spacer, Slave Pulley (Timing Belt - Telescope)",EACH,63.0,42.79,,,,,,42.79275
4-51-1026,"Plate, Belt Retainer (Tele.) Rev. A",EACH,50.0,33.96,,,,,,33.9625
4-51-1029,"Bracket, Timing Belt Base (Telescope)",EACH,38.0,25.81,,,,,32.66,25.8115
4-51-1030,"Bracket, Timing Belt Clamp (Telescope)",EACH,70.0,47.55,,,,107.95,64.4,47.5475
4-51-1031,"Bracket, Timing Belt Clasp (Telescope)",EACH,50.0,33.96,,,,,46.0,33.9625
4-51-1032,"Clamp, Timing Belt (Telescope)",EACH,74.0,50.26,,,,107.95,68.08,50.2645
4-51-1037,"Plate, Nut (10-32)",EACH,15.0,10.19,,,,,13.8,10.188749999999999
4-51-1038,"Housing, Door Catch Ass'y. (part of sub-assy')",EACH,54.0,36.68,,,,,49.68,36.6795
4-51-1039,"Interlock, Door Catch-LH Rev D (part of sub-assy')",EACH,38.0,25.81,,,,31.45,34.96,25.8115
4-51-1040,"Interlock, Door Catch-RH Rev.B (part of sub-assy')",EACH,35.0,23.77,,,,31.45,32.2,23.77375
4-51-1041,"Bracket, Interlock Ass'y. Rev. A (part of sub-assy')",EACH,31.0,21.06,,,,,28.52,21.05675
4-51-1042,"Plate, Interlock Ass'y. Rev. A",EACH,43.0,29.21,,,,,39.56,29.207749999999997
4-51-1047,"Bracket, Upper Sidelite Pivot Rev. A",EACH,80.0,54.34,,,,,73.6,54.339999999999996
4-51-1049,"End Cap, Door Catch",EACH,21.0,14.26,,,,,,14.264249999999999
4-51-1054,"Stud, Slide Arm",EACH,22.0,14.94,,,,,20.24,14.9435
4-51-1055,"Bracket, Header Mounting - LH",EACH,41.0,27.85,,,,,37.72,27.84925
4-51-1055-WMH,"Bracket, Header Mounting - LH With Mounting Hardware",EACH,77.0,52.3,,,,,,52.30225
4-51-1056,"Bracket, Header Mounting - RH",EACH,41.0,27.85,,,,,37.72,27.84925
4-51-1056-WMH,"Bracket, Header Mounting - RH With Mounting Hardware",EACH,77.0,52.3,,,,,,52.30225
4-51-1061,"Lockbolt, F86 Recessed Exit Device",EACH,40.0,27.17,,,,,,27.169999999999998
4-51-1062-BL,"End Cap, Sway Rail",EACH,13.0,8.83,,,,,11.96,8.830250000000001
4-51-1064,"Plate, Door Interlock",EACH,129.0,87.62,,,,,118.68,87.62325
4-51-1067,"Angle, Sidelite Pivot (Bottom)",EACH,74.0,50.26,,,,,,50.2645
4-51-1070,"Bracket, Cover Support",EACH,14.0,9.51,,,,,12.88,9.5095
4-51-1087,"Bracket, Sidelite Strike w/Alarm Contact Prep",EACH,30.0,20.38,,,,,,20.377499999999998
4-51-1089,"Slide Track, Sidelite Door Closer",EACH,47.0,31.92,,,,,43.24,31.92475
4-51-4003-MF,"Insert, Bottom Sway Rail",EACH,8.0,5.43,,,,,,5.434
4-51-4006-BL,"End Cap, Cover (Telescope) DO NOT RE-ORDER",EACH,40.0,27.17,,,,,,27.169999999999998
4-51-4008,"Block, Sidelite Pivot (Bottom)",EACH,25.0,16.98,,,,18.7,23.0,16.98125
4-51-4009,"Bar, Alignment (Pin Guide Threshold)",EACH,10.0,6.79,,,,,,6.7924999999999995
4-51-4149-BL,Cart Bar Machining,EACH,96.0,65.21,,,,,,65.208
4-51-4149-CL,Cart Bar Machining,EACH,96.0,65.21,,,,,,65.208
4-51-4151,"Block, Shear (Machined) - SB5",EACH,18.0,12.23,,,,,,12.2265
4-51-4152,"Block, Upper Sidelite Pivot",EACH,77.0,52.3,,,,,70.84,52.30225
4-51-4160-CL,"Rail, Top (3"") Machining",EACH,66.0,44.83,,,,,,44.830499999999994
4-51-4190-CL,"Rail, Bottom (3 1/2"") Machining",EACH,104.0,70.64,,,,,,70.64200000000001
4-51-4265,"Block, Flushbolt Support",EACH,94.0,63.85,,,,,86.48,63.8495
4-51-4266,"Block, Hex Bolt Guide",EACH,48.0,32.6,,,,,44.16,32.604
4-51-4269,"Bracket, Ball Catch And Panic Switch Magnet",EACH,18.0,12.23,,,,,,12.2265
4-51-4290,"Bracket, Belt Mounted Magnet",EACH,43.0,29.21,,,,,,29.207749999999997
4-51-7002,"Interlock, Door Hurricane Interlock",EACH,26.0,17.66,,,,,23.92,17.660500000000003
4-51-7003,"Bushing, Sidelite Pivot (Bottom)",EACH,58.0,39.4,,,,,,39.3965
4-51-7005,"Plate, Pin Guide Support",EACH,65.0,44.15,,,,49.3,59.8,44.15125
4-51-7006,"Strike Plate, Lockbolt (Bipart Units)",EACH,129.0,87.62,,,,,118.68,87.62325
4-51-7008,"Hex Bolt, Threshold (1/4-20 Tap)",EACH,65.0,44.15,,,,,,44.15125
4-51-7010,"Strike Plate, Lockbolt (Single Units)",EACH,84.0,57.06,,,,,,57.056999999999995
4-51-9004,"Cover, Door Catch",EACH,5.0,3.4,,,,,4.6,3.3962499999999998
4-51-9005,"Block, Slide Arm",EACH,22.0,14.94,,,,,20.24,14.9435
4-51-9010,"Strip, Polyurethane (Door Bottom Seal) 3/4"" x 48""",EACH,122.0,82.87,,,,,,82.8685
4-51-9012,"Cable, Canbus, 12' Ext. RIC290",EACH,125.0,84.91,,,,,,84.90625
4-52-0001,"Pivot Arm Ass'y., All Glass Sliders",EACH,913.0,620.16,,,,,,620.15525
4-52-0010,Sway Guide Ass'y. - L.H. (Parts Orders),EACH,408.0,277.13,,,,334.05,353.83,277.13399999999996
4-52-0011,Sway Guide Ass'y. - R.H. (Parts Orders),EACH,408.0,277.13,,,,334.05,375.36,277.13399999999996
4-52-0012,Roller Catch Ass'y.,EACH,79.0,53.66,,,,,,53.66075
4-52-0013,Toe Roller Ass'y. (All-Glass Sliders),EACH,129.0,87.62,,,,,118.68,87.62325
4-52-1002,"Bracket, Sway Guide - LH (All Glass Slider)",EACH,50.0,33.96,,,,,,33.9625
4-52-1003,"Bracket, Sway Guide - RH (All Glass Slider)",EACH,50.0,33.96,,,,,,33.9625
4-52-1004,"Bracket, Interlock Ass'y. (All Glass Slider)",EACH,29.0,19.7,,,,,25.67,19.69825
4-52-4020-BL,"End Cap, Rail (3""), LH, Black",EACH,46.0,31.25,,,,,,31.2455
4-52-4021-BL,"End Cap, Rail (3""), RH, Black",EACH,46.0,31.25,,,,,,31.2455
4-52-4022-BL,"End Cap, Rail (3-5/8""), LH, Black",EACH,48.0,32.6,,,,,,32.604
4-52-4023-BL,"End Cap, Rail (3-5/8""), RH, Black",EACH,48.0,32.6,,,,,,32.604
4-52-4024-BL,"End Cap, Rail (4""), LH, Black",EACH,47.0,31.92,,,,,,31.92475
4-52-4025-BL,"End Cap, Rail (4""), RH, Black",EACH,47.0,31.92,,,,,,31.92475
4-52-4026-BL,"End Cap, Rail (5""), LH, Black",EACH,50.0,33.96,,,,,,33.9625
4-52-4027-BL,"End Cap, Rail (5""), RH, Black",EACH,54.0,36.68,,,,,,36.6795
4-52-4028-BL,"End Cap, Rail (5-5/8""), LH Black",EACH,56.0,38.04,,,,,,38.038
4-52-4029-BL,"End Cap, Rail (5-5/8""), RH Black",EACH,56.0,38.04,,,,,,38.038
4-52-4030-BL,"End Cap, Rail (6""), LH, Black",EACH,61.0,41.43,,,,,,41.43425
4-52-4031-BL,"End Cap, Rail (6""), RH, Black",EACH,61.0,41.43,,,,,,41.43425
4-54-0010-CL,"Glass Retention, Impact Clear Anodized",FT,14.0,9.51,,,,,,9.5095
4-54-0010-DB,"Glass Retention, Impact Dark Bronze Anodized",FT,16.0,10.87,,,,,,10.868
4-56-0001,"Bottom Guide Ass'y DBO, Wood Doors, LH",EACH,421.0,285.96,,,,,,285.96425
4-56-0002,"Bottom Guide Ass'y DBO, Wood Doors, RH",EACH,421.0,285.96,,,,,,285.96425
4-59-0012,"Carrier Ass'y., Telescope ICU",EACH,421.0,285.96,,,,,217.87,217.87
4-59-0019,Transfer Pivot Ass'y. - LH Trackless Telescope Units,EACH,509.0,345.74,,,,,468.28,345.73825
4-59-0020,Transfer Pivot Ass'y. - RH Trackless Telescope Units,EACH,509.0,345.74,,,,,468.28,345.73825
4-59-0021-CL,Lever Handle Ass'y. - ICU Positive Latch Set = 2 Handles,EACH,263.0,178.64,,,,,,178.64275
4-59-0021-DB,Lever Handle Ass'y. - ICU Positive Latch Set = 2 Handles,EACH,275.0,186.79,,,,,253.0,186.79375
4-59-0022,Interlock Ass'y. - L.H. ICU Positive Latch,EACH,225.0,152.83,,,,,,152.83124999999998
4-59-0023,Interlock Ass'y. - R.H. ICU Positive Latch,EACH,225.0,152.83,,,,,207.0,152.83124999999998
4-59-0024,Activator Ass'y. - ICU Positive Latch,EACH,141.0,95.77,,,,,129.72,95.77425
4-59-0025,Actuator Ass'y. - ICU Positive Latch,EACH,54.0,36.68,,,,46.75,49.68,36.6795
4-59-1003,"Bracket, ICU Header Mtg. - LH",EACH,23.0,15.62,,,,,,15.62275
4-59-1004,"Bracket, ICU Header Mtg. - RH",EACH,23.0,15.62,,,,,,15.62275
4-59-1009,"Strike, Positive Latch**NOTE** Send with 2-81-0019-2558screws",EACH,50.0,33.96,,,,,46.0,33.9625
4-59-1020,"End Cap, Door Catch (Positive Latch)",EACH,43.0,29.21,,,,,,29.207749999999997
4-59-1021,"Bolt, Positive Latch",EACH,61.0,41.43,,,,,52.9,41.43425
4-59-4001,"Bracket, Face Plate",EACH,11.0,7.47,,,,,,7.47175
4-59-7002,"Strike, Positive Latch (Bipart Units)",EACH,176.0,119.55,,,,,,119.548
4-59-9001,"Block, Door Timing (Trackless Telescope ICU)",EACH,21.0,14.26,,,,,25.29,14.264249999999999
4-59-9002,"End Cap, Anti-Breakout Tube",EACH,30.0,20.38,,,,,,20.377499999999998
4-60-1091,"Bracket, Sidelite Pivot (Trackless ICUs)",EACH,54.0,36.68,,,,,49.68,36.6795
4-70-0582,Ball Catch Ass'y.,EACH,73.0,49.59,,,,55.25,41.98,41.98
4-70-0702,"Roller Ass'y., Bottom Guide",EACH,141.0,95.77,,,,,129.72,95.77425
4-70-1069,"Pin, Bottom Guide",EACH,42.0,28.53,,,,,,28.528499999999998
4-70-1527,"Bracket, Bottom Guide (All Glass)",EACH,28.0,19.02,,,,,,19.019
4-80-0013-BL,"Cover & Backplate Ass'y., Sgl., Non-Std. D.O.W., Black",EACH,1521.0,1033.14,,,,,,1033.13925
4-80-0013-CL,"Cover & Backplate Ass'y., Single, Non-Std. D.O.W., Clear",EACH,1220.0,828.68,,,,,,828.685
4-80-0013-DB,"Cover & Backplate Ass'y., Sgl., Non-Std. D.O.W.,Dk. Brz.",EACH,1249.0,848.38,,,,,,848.38325
4-80-0018-BL,"Cover & Backplate Ass'y., Dual, Non-Std. D.O.W., Black",EACH,2604.0,1768.77,,,,,,1768.767
4-80-0018-CL,"Cover & Backplate Ass'y., Dual, Non-Std. D.O.W., Clear",EACH,2310.0,1569.07,,,,,,1569.0674999999999
4-80-0018-DB,"Cover & Backplate Ass'y., Dual, Non-Std. D.O.W.,Dk. Brz.",EACH,2331.0,1583.33,,,,,,1583.33175
4-80-0101,"Relay Ass'y., Panic Breakout",EACH,255.0,173.21,,,,,234.6,173.20874999999998
4-80-0108,"Control Module, Display, | w/cable w.o plug, DFA SS/SPG",EACH,645.0,438.12,,,,,,438.11625
4-80-0801,"Kit, S8000 Control Plug-In Terminal Blocks",EACH,270.0,183.4,,,,,248.4,183.39749999999998
4-80-0802,"Kit, Rocker Switch Control Module",EACH,270.0,183.4,,,,199.75,248.4,183.39749999999998
4-80-0803,"Kit, Header Accessory Package, S8000 Operator",EACH,183.0,124.3,,,,,,124.30274999999999
4-80-0804,"Kit, Double Egress Arm Adaptor",EACH,450.0,305.66,,,,,,305.66249999999997
4-80-0809,"Kit, Keyswitch, ON/OFF/OPEN, Dual Configuration",EACH,662.0,449.66,,,,,609.04,449.6635
4-80-0811,"Kit, Harness Extension, FPC902",EACH,225.0,152.83,,,,,207.0,152.83124999999998
4-80-1003,"Bracket, Cover Support",EACH,33.0,22.42,,,,,,22.415249999999997
4-80-4016-BL,"Cover Machining, Single, Black, Non-Std. D.O.W.",EACH,1105.0,750.57,,,,,,750.57125
4-80-4016-CL,"Cover Machining, Single, Clear, Non-Std. D.O.W.",EACH,811.0,550.87,,,,,,550.8717499999999
4-80-4016-DB,"Cover Machining, Single, Dk. Brz., Non-Std. D.O.W.",EACH,833.0,565.82,,,,,,565.81525
4-80-4018-BL,"Cover Machining, Dual, Black, Non-Std. D.O.W.",EACH,1792.0,1217.22,,,,,,1217.216
4-80-4018-CL,"Cover Machining, Dual, Clear, Non-Std. D.O.W.",EACH,1473.0,1000.54,,,,,,1000.53525
4-80-4018-DB,"Cover Machining, Dual, Dk. Brz., Non-Std. D.O.W.",EACH,1520.0,1032.46,,,,,,1032.46
4-80-4020,"Plate, Adaptor (LCN 4040 Door Closer in S8100/S8200 Header)",EACH,36.0,24.45,,,,,,24.453
4-80-9001,"**DNU - see notes**Enclosure, Display Control Panel (Non-Metallic) Machi EACH",EACH,72.0,48.91,,,,,,48.906
4-85-0019,"Arm, Drive (S8500 O.H.C.)",EACH,614.0,417.06,,,,,564.88,417.0595
4-85-0020,Slide Arm Ass'y.- RHR / LH (O.H.C. Butt Hinge),EACH,739.0,501.97,,,,,679.88,501.96575
4-85-0021,Slide Arm Ass'y.- LHR / RH (O.H.C. Butt Hinge),EACH,739.0,501.97,,,,,679.88,501.96575
4-85-0022,"Bracket Ass'y., Door Closed Stop",EACH,137.0,93.06,,,,,,93.05725
4-85-0101,Drive Module w/Control S8500 (SN),EACH,4818.0,3272.63,,,,584.8,,584.8
4-85-0102,Drive Module w/Control S8500 w/Brake (SN),EACH,5020.0,3409.83,,,,,,3409.8349999999996
4-85-0803,"Kit, Fixed Stop (S8500/8600 O.H.C.)",EACH,178.0,120.91,,,,,,120.9065
4-85-0804,"Kit, Breakout/Panic Stop (S8500/8600 O.H.C.)",EACH,1202.0,816.46,,,,,,816.4585000000001
4-85-0805,"Kit, Header Accessories (S8500/8600 O.H.C.)",EACH,491.0,333.51,,,,,,333.51175
4-85-0806,"Kit, On/Off/Open Rocker Switch",EACH,266.0,180.68,,,,,244.72,180.6805
4-85-1002,"Bracket, Header-To-Jamb",EACH,42.0,28.53,,,,,,28.528499999999998
4-85-1006,"Drive Arm, OHC Operator (Modified)from 9-80-0107",EACH,394.0,267.62,,,,,,267.6245
4-85-1007,"Door Arm, OHC Operator",EACH,221.0,150.11,,,,,,150.11425
4-85-1008,"Extension, Slide Arm (Butt Hung)",EACH,50.0,33.96,,,,,46.0,33.9625
4-85-1010,"End Cap, Header, OHC",EACH,117.0,79.47,,,,,,79.47224999999999
4-85-1011,"End Cap, Header (Blank)",EACH,32.0,21.74,,,,,,21.736
4-85-1015,"Adapter, OHC Closer - Track Arm - S8700 Manual Door Pkg.",EACH,201.0,136.53,,,,,,136.52925
4-85-4020,"Block, Door Closed Stop",EACH,30.0,20.38,,,,,27.6,20.377499999999998
4-85-4021,"Spacer, Operator Body",EACH,26.0,17.66,,,,,,17.660500000000003
4-85-4022-CL,"Cover, Slide Arm Ass'y. (LHR / RH)",EACH,122.0,82.87,,,,,,82.8685
4-85-4022-DB,"Cover, Slide Arm Ass'y. (LHR / RH)",EACH,125.0,84.91,,,,,,84.90625
4-85-4023-CL,"Cover, Slide Arm Ass'y. (RHR / LH)",EACH,122.0,82.87,,,,,,82.8685
4-85-4023-DB,"Cover, Slide Arm Ass'y. (RHR / LH)",EACH,125.0,84.91,,,,,,84.90625
4-85-4024-CL,"Cover, Slide Arm Ass'y. (Dual Units)",EACH,194.0,131.77,,,,,,131.7745
4-85-4024-DB,"Cover, Slide Arm Ass'y. (Dual Units)",EACH,208.0,141.28,,,,,,141.28400000000002
4-85-9001,Fingerguard (8 Ft. S/L),EACH,183.0,124.3,,,,,,124.30274999999999
4-85-9002,Fingerguard (10 Ft. S/L),EACH,227.0,154.19,,,,,,154.18975
4-85-9003,"Block, Panic Switch Mounting",EACH,19.0,12.91,,,,,10.24,10.24
4-86-0801-BL,"Kit, Push Bar",EACH,113.0,76.76,,,,,,76.75525
4-99-0800,"Mini-Station Control, Push Button",EACH,217.0,147.4,,,,,,147.39725
5-11-4008-MF,Pin Guide Threshold,FT,65.0,44.15,,,,,59.8,44.15125
5-11-4017-MF,"Threshold, 1/4"" X 7"" Saddle",FT,42.0,28.53,,,,,38.64,28.528499999999998
5-11-4021-CL,"Stile, Tandem (Narrow) (21'1"" S/L)",FT,38.0,25.81,,,,,,25.8115
5-11-4021-CL-24,"Stile, Tandem (Narrow) (24 Ft. S/L)",FT,38.0,25.81,,,,,,25.8115
5-11-4021-DB,"Stile, Tandem (Narrow) (21'1"" S/L)",FT,40.0,27.17,,,,,,27.169999999999998
5-11-4021-DB-24,"Stile, Tandem (Narrow) (24 Ft. S/L)",FT,40.0,27.17,,,,,,27.169999999999998
5-11-4021-MF,"Stile, Tandem (Narrow) S/L 170""",FT,33.0,22.42,,,,,,22.415249999999997
5-11-4022-CL,"Stile, Fixed (Narrow) (21'1"" S/L)",FT,36.0,24.45,,,,,,24.453
5-11-4022-CL-24,"Stile, Fixed (Narrow) (24 Ft. S/L)",FT,36.0,24.45,,,,,,24.453
5-11-4022-DB,"Stile, Fixed (Narrow) (21'1"" S/L)",FT,39.0,26.49,,,,,,26.49075
5-11-4022-DB-24,"Stile, Fixed (Narrow) (24 Ft. S/L)",FT,39.0,26.49,,,,,,26.49075
5-11-4022-MF,"Fixed Stile (Narrow) S/L 170""",FT,30.0,20.38,,,,,,20.377499999999998
5-11-4024-CL,"Stile, Tandem (Medium) 22'",FT,46.0,31.25,,,,,,31.2455
5-11-4024-DB,"Stile, Tandem (Medium) 22'",FT,47.0,31.92,,,,,,31.92475
5-11-4024-MF,"Stile, Tandem (Medium) S/L 168""",FT,26.0,17.66,,,,,,17.660500000000003
5-11-4024-MF-22,"Stile, Tandem (Medium) S/L 264""",FT,24.0,16.3,,,,,,16.302
5-11-4025-CL,"Stile, Fixed (Medium) 22'",FT,43.0,29.21,,,,,,29.207749999999997
5-11-4025-DB,"Stile, Fixed (Medium) 22'",FT,45.0,30.57,,,,,,30.566249999999997
5-11-4025-MF,"Stile, Fixed (Medium) S/L 168""",FT,24.0,16.3,,,,,,16.302
5-11-4025-MF-22,"Stile, Fixed (Medium) S/L 264""",FT,22.0,14.94,,,,,,14.9435
5-11-4028-CL,"Filler, Stile 21'1""",FT,9.0,6.11,,,,,,6.11325
5-11-4028-DB,"Filler, Stile 21'1""",FT,11.0,7.47,,,,,,7.47175
5-11-4028-MF,"Filler, Stile S/L 21'1""",FT,5.0,3.4,,,,,,3.3962499999999998
5-11-4030-CL,"Adaptor, Transom",FT,10.0,6.79,,,,,,6.7924999999999995
5-11-4030-DB,"Adaptor, Transom",FT,11.0,7.47,,,,,,7.47175
5-11-4030-MF,"Adaptor, Transom",FT,9.0,6.11,,,,,,6.11325
5-11-4031-CL,"Muntin Bar, 1 1/2""",FT,21.0,14.26,,,,,,14.264249999999999
5-11-4031-DB,"Muntin Bar, 1 1/2""",FT,22.0,14.94,,,,,,14.9435
5-11-4031-MF,"Muntin Bar, 1 1/2 S/L 12'",FT,18.0,12.23,,,,,,12.2265
5-11-4032-CL,"Rail, 2 1/2""",FT,39.0,26.49,,,,,,26.49075
5-11-4032-DB,"Rail, 2 1/2""",FT,41.0,27.85,,,,,,27.84925
5-11-4032-MF,"Rail, 2 1/2"" S/L 12'",FT,33.0,22.42,,,,,,22.415249999999997
5-11-4033-CL,"Rail, 3 1/2"" 24'",FT,43.0,29.21,,,,,,29.207749999999997
5-11-4033-DB,"Rail, 3 1/2""",FT,45.0,30.57,,,,,,30.566249999999997
5-11-4033-MF,"Rail, 3 1/2"" S/L 12'",FT,37.0,25.13,,,,,,25.13225
5-11-4034-CL,"Rail, 4""",FT,43.0,29.21,,,,,,29.207749999999997
5-11-4034-DB,"Rail, 4""",FT,46.0,31.25,,,,,,31.2455
5-11-4034-MF,"Rail, 4"" S/L 12'",FT,33.0,22.42,,,,,,22.415249999999997
5-11-4035-CL,"Rail, 5""",FT,44.0,29.89,,,,,,29.887
5-11-4035-DB,"Rail, 5""",FT,48.0,32.6,,,,,,32.604
5-11-4035-MF,"Rail, 5"" S/L 168""",FT,37.0,25.13,,,,,,25.13225
5-11-4036-CL,"Rail, 6""",FT,68.0,46.19,,,,,,46.189
5-11-4036-DB,"Rail, 6""",FT,70.0,47.55,,,,,,47.5475
5-11-4036-MF,"Rail, 6"" S/L 12'",FT,46.0,31.25,,,,,,31.2455
5-11-4037-CL,"Gutter, 1/4"" Beveled",FT,10.0,6.79,,,,,,6.7924999999999995
5-11-4037-DB,"Gutter, 1/4"" Beveled",FT,11.0,7.47,,,,,,7.47175
5-11-4038-CL,"Sash, 1/4"" Beveled",FT,8.0,5.43,,,,,,5.434
5-11-4038-DB,"Sash, 1/4"" Beveled",FT,8.0,5.43,,,,,,5.434
5-11-4039-CL,"Gutter, 1/4"" Square, Clear Ano 24'",FT,13.0,8.83,,,,10.2,,8.830250000000001
