Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,A&M Part #
C01796.0000,INFRARED REMOTE CTRL BEA10 REMOTE,EA,225.0,157.5,,,,
C01807.0000,LENS EXT-ACTIVE IR/DOOR MNTED – 8.5 FOOT SECTION BEA# 70.0138,LF,85.9,60.13,,,,
C01808.0KIT,KIT- ENDCAP LH/RH & MOUNTING SCREWS-C1878,,5.9,4.13,,,,
C01821.0000,EPROM-SGS 64K 200NS M27C64A-2F1,,137.0,95.9,,,,
C01829.0000,"SENSOR, BEA BODYGUARD T",,493.0,345.1,,,,
C01865.0000,THERMALLOY 53-77-9 AC,,8.0,5.6,,,,
C01878.0236,"SENSOR, BEA SUPERSCAN T",,689.0,482.3,,,,
C01884.0000,MOTION DET DIRECTION MW EAGLE,,503.0,352.1,,,,
C01884.0001,"BEA-EAGLE-SPACER 1""",,119.0,83.3,,,,
C01885.0001,VISTA SWING DOOR SYSTEM,,1100.0,770.0,,,,
C01885.005E,ASSYVISTA SYSTEM W/EAGLE,,1174.0,821.8,,,,
C01885.005O,ASSYVISTA SYSTEM W/OPTEX,,1390.0,973.0,,,,
C01885.007E,ASSYENHNCD VISTA W/EAGLE 1W,,2874.0,2011.8,,,,
C01885.07EP,ASSYENHNCD VISTA W/EAGL 1W PR,,4394.0,3075.8,,,,
C01896.0001,TUBINGSPLIT CORRUGATED LOOM PANDUIT P/N CLT38F-C20,,3.3,2.31,,,,
C01897.0000,DOOR CORD JAMB CAP W/SCREWS,,14.4,10.08,,,,
C01938.0000,STL BAR 1/8X1 3/4,,30.2,21.14,,,,
C01975.0000,STL RD 1 1/2 CF1018,,123.0,86.1,,,,
C01998.0000,SHEET STL 12GA.CF,,49.3,34.51,,,,
C02001.0120,2001 KIT; OPERATOR - NO EXTR - NO BEAMS- 120V,,4637.0,3245.9,,,,
C02001.0220,2001 KIT; OPERATOR - NO EXTR - NO BEAMS - 220V,,3784.0,2648.8,,,,
C02007.0000,"STRIKE PLATE ""SO"" BALL CATCH",,30.2,21.14,,,,
C02008.0002,"WINDOW KITVISION LITE 2""",,117.0,81.9,,,,
C02011.0000,LOCK TAB-S2000B W/AUTOLOCK,,46.0,32.2,,,,
C02013.0000,ACTIVATOR ARM ADAMS 3 PT LOCK METRO DADE (SS. SHEET .109),,64.9,45.43,,,,
C02020.0000,SAMPLE KIT WOOD GRAIN POWDER,,36.5,25.55,,,,
C02022.0000,HARNESSPOSITION SWITCH,,112.0,78.4,,,,
C02026.000A,SHIM INTERLOCK CLIP ELEGANT CLEAR (AL. SHEET .063),,20.7,14.49,,,,
C02026.000B,SHIMINTERLOCK CLIP ELEGANT BRZ (AL. SHEET .063),,159.0,111.3,,,,
C02034.0000,BELT BRACKET (S2000B),,84.1,58.87,,,,
C02034.0001,BRACKET WHEEL CARRIAGE-S2000B W/A'LOCK,,89.1,62.37,,,,
C02034.0002,BRACKET BELT2000B BIPART SX-SO X-O O-SX (STL SHEET-0.125),,93.4,65.38,,,,
C02035.0002,BRACKET BELT2000B BIPART SO-SX O-X SX-O (STL SHEET-0.125),,20.7,14.49,,,,
C02036.0001,ASSYWHEEL CARRIAGE-2000B BIPARTS SO-SX O-X SX-O,,107.0,74.9,,,,
C02036.0004,ASSY; WHEEL CARRIAGE 2000B BI-PART ONLY ISO 3 ATMOSPHERIC,,76.4,53.48,,,,
C02036.0005,"ASSY; WHEEL CARRIAGE S2000B SX-O, SO-SX ISO 3 ATMOSPHERIC",,76.4,53.48,,,,
C02036.003L,ASSYWHEEL CARRIAGE SELF CLOSING ICU 310 SO-SX,,132.0,92.4,,,,
C02036.003R,ASSYWHEEL CARRIAGE SELF CLOSING ICU 310 SX-SO,,132.0,92.4,,,,
C02038.0003,BRACKET; CLOSE MONITOR SWITCH S2000B,,40.1,28.07,,,,
C02039.0000,BACKUP PLATE BELT (S2000B),,39.7,27.79,,,,
C02045.0000,MAGNETSURFACE MOUNT-WHITE NASCOM INC. P/N N224GW/M,,12.8,8.96,,,,
C02049.0001,ICU GROUNDING STRIP KANBAN,,59.0,41.3,,,,
C02053.0000,KITSTATIC CONTROL-010 SLIDE,,115.0,80.5,,,,
C02053.0001,KITSTAT.CTRL-110/310/310T ICU,,81.0,56.7,,,,
C02053.0002,KIT STATIC CNTRL-ICU TELE FAST,,60.2,42.14,,,,
C02053.0003,KITSTATIC CNTRL-310T ICU FAST DOOR,,93.4,65.38,,,,
C02059.0000,MOUNT BLOCK SLOW DOOR,,36.5,25.55,,,,
C02066.0000,WHEEL CARRIAGE-S/D TELE ASSY,,159.0,111.3,,,,
C02067.0000,LOCKBT-EX.DEV. JACKSON 1085,,49.4,34.58,,,,
C02068.000A,BRACKET TRIP JCKSN 1085FINISH CLR,,101.0,70.7,,,,
C02068.000B,BRACKET TRIP JCKSN 1085 FINISH,,81.0,56.7,,,,
C02068.000C,BRACKET TRIP JCKSN 1085FINISH BLK,,95.0,66.5,,,,
C02072.000A,SHIM-BREAKOUT-2310T-CLEAR,,14.3,10.01,,,,
C02074.0000,BUMPER-2310T ASSY SERVICE PART ONLY,,61.8,43.26,,,,
C02076.0000,BUMPER PUSH/PULL-310T W/TRCK,,22.3,15.61,,,,
C02076.0002,PLUG 62PP037BM31-5 MICROPLASTI 62PP037BM31-5 MICROPLASTICS,EA,1.7,1.19,,,,
C02076.0003,KITPUSH/PULL INTRLCKS 310T (FOR SERVICE PARTS ONLY),EA,41.1,28.77,,,,
C02076.0004,KITPUSH/PULL INTRLKS 3PR 310T,EA,151.0,105.7,,,,
C02076.0006,BUMPER; RAMP DOOR HANDLE ICU AUTO TELE,EA,102.0,71.4,,,,
C02076.0007,BUMPER: CHAMFERED PUSH 310T ICU,EA,48.9,34.23,,,,
C02076.0011,"GUIDE, TOP SO 3-PANEL MAX OPEN ICU",EA,28.5,19.95,,,,
C02076.0012,"GUIDE, BOTTOM SO 3-PANEL MAX OPEN ICU",EA,21.1,14.77,,,,
C02076.0015,HARDWARE.BUMPER.PUSH PULL.INTERLOCK.ASA.L1941.MT-11010,EA,17.5,12.25,,,,
C02077.000A,KIT ICU 310T TRACKLESS BUMPER CLR,EA,161.0,112.7,,,,C02077.000A
C02077.000B,KIT ICU 310T TRACKLESS BUMPER BRZ,EA,161.0,112.7,,,,C02077.000B
C02078.0002,SHIMTOP PIVOT ELEGANT 310,EA,42.8,29.96,,,,
C02101.0000,"S2000L LINEAR DRIVE COUPLER 1/2"" X 1/2"" BORES-LITTON STYLE MOTOR-1/2""",EA,193.0,135.1,,,,
C02101.0001,"COUPLER 5804 1/2""X12MM BORES WITH (2) 1/4-20 SET SCREWS",EA,210.0,147.0,,,,
C02102.0002,ASSYTRAVEL BLOCK-2000L SINGLE,EA,686.0,480.2,,,,
C02102.0003,ASSYTRVL BLOCK SNGL-CLEAN RM,EA,495.0,346.5,,,,
C02102.0004,KIT ASSY; CABLE CLAMP 2000 LINEAR BIPART,EA,21.8,15.26,,,,
C02103.0001,STL RD 1/2 SHAFT 84,EA,680.0,476.0,,,,
C02103.3325,PRECISION GROUND SHAFT FOR S2000 AND S8000,EA,1015.0,710.5,,,,
C02103.3625,PRECISION GROUND SHAFT FOR S2000 AND S8000,EA,532.0,372.4,,,,
C02103.3925,PRECISION GROUND SHAFT FOR S2000 AND S8000,EA,532.0,372.4,,,,
C02103.4525,PRECISION GROUND SHAFT FOR S2000 AND S8000,EA,629.0,440.3,,,,
C02103.5125,PRECISION GROUND SHAFT FOR S2000 AND S8000,EA,614.0,429.8,,,,
C02103.5725,"PRECISION GROUND SHAFT HUL60 SHAFT 1/2""DX57.25L",EA,629.0,440.3,,,,
C02103.6325,"PRECISION GROUND SHAFT HUL60 SHAFT 1/2""DX63.25""L",EA,629.0,440.3,,,,
C02106.0001,SW MICRO V7-1B17D8-263,EA,16.8,11.76,,,,
C02108.001L,BACK CK/OPEN C/O ASSY,EA,47.3,33.11,,,,
C02108.001R,BACK CK/OPEN C/O ASSY,EA,58.8,41.16,,,,
C02109.001L,LATCH CK-CLOS C/O ASSY,EA,54.0,37.8,,,,
C02109.001R,LATCH CK-CLOS C/O ASSY,EA,58.8,41.16,,,,
C02110.0000,BREAKER 1 1/2 AMP ETA P/N 45-000-P10-401.161,EA,113.0,79.1,,,,
C02115.0000,RECEPTACLE DUPLX REV 15A125V HUBBELL RR15I IVORY-CUT EARS,EA,4.8,3.36,,,,
C02117.0002,BRACKETBRG/MOTOR-2000 LINEAR,EA,136.0,95.2,,,,
C02118.0000,WASHER 1/4 IN,EA,1.7,1.19,,,,
C02120.0002,PLATE-SWITCH-UNIVERSAL,EA,19.1,13.37,,,,
C02121.0000,BOLT 8-32X1/2 FH PS PL,EA,1.7,1.19,,,,
C02122.0000,NUT STOP 8-32 PLTD,EA,1.7,1.19,,,,
C02126.0000,BEARING(IAW DWG C02126.0000),EA,50.0,35.0,,,,
C02127.0001,BOLT 1/4-28X1 SCS BLK,EA,4.8,3.36,,,,
C02128.0000,PLATE MTG TRAVEL BLK (BAR-0.125),EA,23.8,16.66,,,,
C02129.0001,TEE CARRIAGE TO BLK,EA,129.0,90.3,,,,
C02130.0001,SX CARRIAGE ASSY,EA,236.0,165.2,,,,
C02130.0004,ASSY; SX CARRIAGE RH/LH 2000 LINEAR W/ AUTOLCK,EA,398.0,278.6,,,,
C02131.0001,DRIVE ROD BUSHING ASSY,EA,51.2,35.84,,,,
C02134.0001,CLAMP CABLE,EA,41.4,28.98,,,,
C02135.0001,BRACKET CO-ACTIVE POWER (STL PLATE-0.25),EA,41.1,28.77,,,,
C02136.0001,ASSY PULLEY-COACTIVE-2000L,EA,111.0,77.7,,,,
C02136.0003,ASSY PULLEY-COACTIVE,EA,138.0,96.6,,,,
C02137.0001,ASSY WHEEL CARRIAGE SX 010L,EA,321.0,224.7,,,,
C02138.0002,CKT BREAKER LACE ASSY,EA,210.0,147.0,,,,
C02140.0003,CRIMP- WIRE.14AWG-22AWG,EA,1.1,0.77,,,,
C02142.0000,AMP 360010-1 CNTR ADP,EA,3.3,2.31,,,,
C02143.0002,DRIVE ROD BKT ASSY,EA,74.5,52.15,,,,
C02146.0001,SPACER BTWN COUP-BEAR,EA,12.4,8.68,,,,
C02148.0000,BEARING-(IAW DWG C02148.0000),EA,64.2,44.94,,,,
C02149.0000,BOLT 10-24X1 SCS BL,EA,1.7,1.19,,,,
C02150.0825,ASSY;CNTRL W/ V 8.25.03 SOFTWARE,EA,1968.0,1377.6,,,,
C02151.0001,FLANGETTE 40 MST-C2,EA,6.4,4.48,,,,
C02152.0000,"COLLAR STEEL SPLIT 1/2"" CLIMAX METAL 1C-050",EA,30.2,21.14,,,,
C02155.0421,OPER HARNESS 2000/2150 21 INCH,EA,13.6,9.52,,,,
C02155.0448,OPER HARNESS 2000/2150 48 INCH,EA,295.0,206.5,,,,
C02168.0002,RELAY 1515-3C-24VDC KUP14D15 24V,EA,93.4,65.38,,,,
C02171.00LH,"ASSYCTRL PWR SUPPLY-4700 HD UNITS W HDRS 84"" OR GREATER",EA,3811.0,2667.7,,,,
C02171.00RH,"ASSYCTRL PWR SUPPLY-4700 HD UNITS W HDRS 84"" OR GREATER",EA,3813.0,2669.1,,,,
C02171.01LH,"220VAC ASSYCTRL PWR SUPPLY-4700 HD UNITS W HDRS 84"" OR GREATER LH",EA,1253.0,877.1,,,,
C02171.01RH,"220VAC ASSYCTRL PWR SUPPLY-4700 HD UNITS W/ HDRS 84"" OR GREATER RH",EA,1253.0,877.1,,,,
C02176.0002,AUTOLOCK 2000 FAIL SEC C2160-2,EA,790.0,553.0,,,,
C02176.0006,ASSY-AUTOLOCK-FAIL SEC-S2000B,EA,744.0,520.8,,,,
C02176.07LH,ASSYAUTOLOCK-FAIL SEC-2000B,EA,779.0,545.3,,,,
C02176.07RH,ASSYAUTOLOCK-FAIL SEC-2000B,EA,779.0,545.3,,,,
C02177.0002,SA AUTOLOCK,EA,674.0,471.8,,,,
C02179.0000,CHASSISC2150 C3955-4000 OP. FOR SWING DOORS (AL. SHEET .125),EA,60.6,42.42,,,,
C02180.0002,ASSY DRIVE MOTOR-2000L,EA,1049.0,734.3,,,,
C02180.0004,ASSYDRIVE MOTOR-2000L CLN RM,EA,1251.0,875.7,,,,
C02181.0000,SW MICRO V7-2B17D8-048 PRIOR # V3L - 2106-D8,EA,19.1,13.37,,,,
C02187.0000,BOLT 6-32X3/8 FH PS PL,EA,1.7,1.19,,,,
C02187.000A,BOLT 6-32X3/8 FH PS PL CLR,EA,1.7,1.19,,,,
C02193.0000,"CONNECTOR HOUSING; UL94V2 STD .062"" 2400 SERIES 4 POS",EA,1.3,0.91,,,,
C02196.0005,AUTOLOCK 2000 FAIL SAFE C2150,EA,764.0,534.8,,,,
C02196.0006,ASSY-AUTOLOCK-FAIL SAFE-S2000B,EA,719.0,503.3,,,,
C02196.002L,FAIL SAFE AUTOLOCK ASSY LH,EA,1108.0,775.6,,,,
C02196.002R,FAIL SAFE AUTOLOCK ASSY RH,EA,1108.0,775.6,,,,
C02196.07LH,ASSYAUTOLOCK-FAIL SAFE-2000B,EA,754.0,527.8,,,,
C02196.07RH,ASSYAUTOLOCK-FAIL SAFE-2000B,EA,754.0,527.8,,,,
C02199.0001,"KITHARNESS-C2150 CNTRL-4700HD W/ HEADERS SHORTER THAN 84""",EA,98.3,68.81,,,,
C02208.0000,"SPRING COMPRESSION TRAVEL BLK 1"" LENGTH .111 DIA WIRE 6 COIL",EA,20.7,14.49,,,,
C02210.0000,SPACER 1/4 X 3/8 HVY-FT ZINC PLATED,EA,12.8,8.96,,,,
C02212.0000,CLAMP CHAIN 2000 LWR,EA,58.8,41.16,,,,
C02213.0000,CLAMP UPPER CHAIN 2000,EA,58.8,41.16,,,,
C02217.0000,BATTERY PS 612,EA,82.2,57.54,,,,
C02226.0000,BLOCK TRAVEL-LOWER HALF,EA,132.0,92.4,,,,
C02230.0000,PLATE-WHEEL-CARRIAGE-2000 (STL PLATE-0.25),EA,63.6,44.52,,,,
C02231.0000,RING-BUSHING--LARGE,EA,17.5,12.25,,,,
C02236.0000,PART OPEN CUTOFF SW ASSY,EA,31.8,22.26,,,,
C02237.0000,PLATE-WHEEL-CARRIAGE-2000,EA,79.1,55.37,,,,
C02246.0000,CLAMP-CABLE-SLAVE,EA,49.3,34.51,,,,
C02248.0000,BEARING COLLAR(IAW DWG C2248),EA,19.2,13.44,,,,
C02249.0000,ASSY; SLAVE CABLE CLAMP-2000,EA,89.0,62.3,,,,
C02251.0000,TOGGLE HARNESS 52110 ASSY,EA,115.0,80.5,,,,
C02255.0000,FUSE 3A 32V TYPE 1AG,EA,14.3,10.01,,,,
C02273.0002,PLATE-MOUNTING-ENGRAVED 1 3/4 X 4 1/2 X 1/8 LMC2273-1 FOR RTQP REVO EA,,188.0,131.6,,,,
C02280.0002,"MODULEINTERLOCK ESI ES520 3""X5"" FOUR FUNCTION 24V AC-DC",EA,688.0,481.6,,,,
C02280.0003,MODULE INTERLOCK ESI ES520 24V AC-DC WITH VER.2.54.01 (EARLY WARNING,EA,731.0,511.7,,,,
C02280.00RM,"MODULE RESTROOM ESI ES530 DELAY 3""X5"" 24V AC-DC",EA,614.0,429.8,,,,
C02290.0002,"MODULE DELAY ESI ES505 2.75""X2.75"" MULTI FUNCTION",EA,206.0,144.2,,,,
C02297.000A,ALUM FLUSH PANIC DEVICE MUNTIN - CLEAR 288 IN,LF,52.3,36.61,,,,
C02297.000B,ALUM FLUSH PANIC DEVICE MUNTIN BRONZE 288 IN,LF,55.5,38.85,,,,
C02298.0000,"GLASS PANEL ""SX""-2500 TO BE IAW DWG C02298.0000",SF,89.1,62.37,,,,
C02298.0001,"GLASS PANEL ""O"" 110-2500 TO BE IAW DWG C02298.0001",SF,93.4,65.38,,,,
C02298.0008,GLASS 7/16 X 1SF STARFIRE LOW IRON CURVED LAMINATED,SF,107.0,74.9,,,,
C02298.0009,"GLASS, ""O"" PANEL 1/2""; STARFIRE LOW IRON IAW DWG C2298-1",SF,843.0,590.1,,,,
C02298.0014,GLASS PANEL; 2500 ELEGANT CLAMP RAIL,SF,98.9,69.23,,,,
C02298.0025,"GLASS PANEL; (PANIC HARDWARE PREP) ""SX"" 2500 (ELEGANT) SLIDE 10"" BTTM",SF,55.6,38.92,,,,
C02300.0001,ROD ASSY FOR FLUSH PANIC DEV ADAMS RITE 31-0925LATCH ROD,EA,161.0,112.7,,,,
C02300.0004,FLUSH MOUNT PANIC DEVICE ADAMS RITE F86 PUSH PAD AT 25 INCHES DARK EA,,860.0,602.0,,,,
C02300.0007,FLUSH PANIC DEVICE FILLER PNL,LF,8.0,5.6,,,,
C02300.000A,FLUSH PANIC DEVICE ASSY INCLUDE C02300.0007 FILLER,EA,922.0,645.4,,,,
C02300.000B,FLUSH PANIC DEVICE ASSY INCLUDE C02300.0007 FILLER,EA,921.0,644.7,,,,
C02300.008R,HANDLE ASSY RHR PANIC 2001 ELEG CRL# PA100Z3RPSB,EA,12867.0,9006.9,,,,
C02300.009R,HANDLE ASSY LHR PANIC 2001 ELEG CRL# PA100Z4RPSB,EA,12867.0,9006.9,,,,
C02300.0446,HARDWARE.EXIT DEVICE.FLUSH.TALL DOOR.ADAMS RITE,EA,658.0,460.6,,,,
C02303.0000,ALUM HALF SADDLE THRESHOLD EXTRU - MILL 4 IN,LF,60.2,42.14,,,,
C02303.0001,ALUM HALF SADDLE THRESHOLD EXTRU - MILL 5 IN,LF,64.9,45.43,,,,
C02306.000A,"MORTISE CYLINDER MOUNTING PAD, JACKSON NO. 86, CLEAR, SATIN ALUMIN",EA,108.0,75.6,,,,
C02307.0000,CORNER BLK FOR FLUSH MNT PANIC,EA,5.3,3.71,,,,
C02308.000A,TRIM PLATE FOR FLUSH MNT PANIC,EA,40.3,28.21,,,,
C02311.0004,BLOCKBOTOM GUIDE 310/110 ELEGANT SLIDE,EA,151.0,105.7,,,,
C02311.0007,ASSEMBLY; INTERLOCK ROLLER SLIDE,EA,57.2,40.04,,,,
C02311.0008,ASSEMBLY; BOTTOM GUIDE 310 ELEGANT SLIDE,EA,323.0,226.1,,,,
C02314.0000,WASHER THRUST,EA,34.9,24.43,,,,
C02317.0000,LOCK BOT RAIL AR MS1861,EA,259.0,181.3,,,,
C02320.0003,FOOT-W/STD-TORSION-2500,EA,436.0,305.2,,,,
C02324.2RHA,ASSYTRSN BARSX-O BPRT 2500,EA,1186.0,830.2,,,,
C02335.000A,END CAP ELEGANT R-W-4.62,EA,75.8,53.06,,,,
C02335.001A,END CAP ELEGANT R-W-3.62,EA,60.2,42.14,,,,
C02335.005A,ENDCAPRW-4.63 ELEGANT2500 CLR,EA,143.0,100.1,,,,
C02335.005B,ENDCAPRW-4.63 ELEGANT2500 BRZ,EA,143.0,100.1,,,,
C02335.010A,ENDCAP 10.12 BOTTOM RAIL 310 ELEGANT,EA,170.0,119.0,,,,
C02335.010B,ENDCAP 10.12 BOTTOM RAIL 310 ELEGANT BRZ (AL. SHEET .188),EA,170.0,119.0,,,,
C02336.000A,END CAP ELEGANT L-W-4.62,EA,60.2,42.14,,,,
C02336.000B,END CAP ELEGANT L-W-4.62,EA,55.5,38.85,,,,
C02336.001A,END CAP ELEGANT L-W-3.62,EA,60.2,42.14,,,,
C02337.000A,END CAP ELEGANT R 5.34,EA,55.5,38.85,,,,
C02337.000B,END CAP ELEGANT R 5.34,EA,157.0,109.9,,,,
C02337.001A,END CAP ELEGANT R 3.62,EA,60.2,42.14,,,,
C02337.001B,END CAP ELEGANT R 3.62,EA,60.2,42.14,,,,
C02337.003A,END CAP ELEGANT R 4.44,EA,60.2,42.14,,,,
C02337.003B,END CAP ELEGANT R 4.44,EA,60.2,42.14,,,,
C02337.004A,END CAP ELEGANT R 5.00,EA,68.0,47.6,,,,
C02337.004B,END CAP ELEGANT R 5.00,EA,55.5,38.85,,,,
C02337.005A,END CAP ELEGANT RH 6.38,EA,57.2,40.04,,,,
C02337.005B,END CAP ELEGANT RH 6.38,EA,60.2,42.14,,,,
C02337.008A,ENDCAPSO INTRLK SXSO 2500/310,EA,72.9,51.03,,,,
C02337.008B,ENDCAPSO INTRLK SXSO 2500/310,EA,72.9,51.03,,,,
C02337.009A,ENDCAPELEGANT R-4.63 2500 SER,EA,92.1,64.47,,,,
C02338.000A,END CAP ELEGANT L 5.34,EA,60.2,42.14,,,,
C02338.000B,END CAP ELEGANT L 5.34,EA,60.2,42.14,,,,
C02338.001A,END CAP ELEGANT L 3.62,EA,66.0,46.2,,,,
C02338.002A,END CAP ELEGANT L 4.62,EA,175.0,122.5,,,,
C02338.003A,END CAP ELEGANT L 4.44,EA,60.2,42.14,,,,
C02338.003B,END CAP ELEGANT L 4.44,,167.0,116.9,,,,
C02338.004A,END CAP ELEGANT L 5.00,,233.0,163.1,,,,
C02338.004B,END CAP ELEGANT L 5.00,,157.0,109.9,,,,
C02338.005A,END CAP ELEGANT LH 6.38,,57.2,40.04,,,,
C02338.005B,END CAP ELEGANT LH 6.38,,175.0,122.5,,,,
C02338.008A,ENDCAPSO INTRLK SOSX 2500/310,,167.0,116.9,,,,
C02338.008B,ENDCAPSO INTRLK SOSX 2500/310,,19.1,13.37,,,,
C02338.010A,ENDCAP 10.12 BOTTOM RAIL 310 ELEGANT,,185.0,129.5,,,,
C02338.010B,ENDCAP 10.12 BOTTOM RAIL 310 ELEGANT BRZ (AL. SHEET .187),,185.0,129.5,,,,
C02338.011A,ENDCAP 10.12 BOTTOM RAIL 310 ELEGANT,,431.0,301.7,,,,
C02338.011B,ENDCAP 10.12 BOTTOM RAIL 310 ELEGANT BRZ (AL. SHEET .188),,170.0,119.0,,,,
C02338.012A,ENDCAP 10.12 BOTTOM RAIL 310 ELEGANT,,431.0,301.7,,,,
C02341.0000,PIN DOWEL ELEGANT,,15.9,11.13,,,,
C02342.0000,INSERT GLASS,,22.3,15.61,,,,
C02343.0000,SPACERELEGANT BOTTOM RAIL LOCK MOUNTING,,19.1,13.37,,,,
C02347.000A,LOCK RING SPACER,,71.4,49.98,,,,
C02347.000B,LOCK RING SPACER,,61.8,43.26,,,,
C02348.000A,LOCK RING SPACER,,64.9,45.43,,,,
C02348.000B,LOCK RING SPACER,,64.9,45.43,,,,
C02356.0000,CONN AMP 640133-8 CARD,,11.2,7.84,,,,
C02361.000A,"DEVICE 2 PT LOCK EXIT 36""W CLR ADAMS RITE G86H-11-36",,938.0,656.6,,,,
C02361.000B,"DEVICE 2 PT LOCK EXIT 36""W BRZ ADAMS RITE G86H-22-36",,681.0,476.7,,,,
C02394.0001,BEARING 20MM INA 4104,,270.0,189.0,,,,
C02394.0002,WASHER-25MM-INA 4104 AW,,104.0,72.8,,,,
C02397.0000,MAGNET FLEX 1/8X3/4 MAGNET SALES P/N HF0848,,15.9,11.13,,,,
C02398.0000,BOLT 1/2-20X1 FHSCS PLT,,6.4,4.48,,,,
C02400.0000,PIVOTTOP(MOD)-SO PNL 2500/300,,167.0,116.9,,,,
C02438.0000,GUIDE TRACK I.C.U.,,24.4,17.08,,,,
C02457.001B,END CAP ELEGANT,,36.6,25.62,,,,
C02475.001A,PACKAGE ACCY SCREW CLR ASSY,,52.3,36.61,,,,
C02500.0001,SHIMSO BTTM PIVOT 2500/310,,31.8,22.26,,,,
C02520.0000,CONNECTOR 5/C MTA100 AMP 643813-5,,4.8,3.36,,,,
C02528.0000,BOLT 5/16-18X3/4 HHMB L8,,3.3,2.31,,,,
C02582.0000,RELAY DPDT 10A 12VDC PB K10P11D15 12V HL2-H-DC12V,,55.5,38.85,,,,
C02593.0001,ASSY MPU/PWM CARD C2160-3,,771.0,539.7,,,,
C02595.0AEG,ASSY MOTOR DR PWR SUP,,2041.0,1428.7,,,,
C02600.0001,GAS SPRING18#8.27 STROKE W/ BALL STUDS,,147.0,102.9,,,,
C02628.000A,ALUM EXTRUSION-3/16X1-1/4 ALUM BAR - CLEAR 240 IN,,4.8,3.36,,,,
C02628.000B,ALUM EXTRUSION-3/16X1-1/4 ALUM BAR - DARK BRONZE 240 IN,,8.0,5.6,,,,
C02641.0000,"3/8"" STAINLESS PHPS",,0.4,0.28,,,,
C02647.0000,3-48 STAINLESS NYLON-INSERT LOCKNUT,,6.0,4.2,,,,
C02656.0000,SPACER 310 BTWN SO SX PNLS,,0.9,0.63,,,,
C02658.0000,BELTCOG .50PX1.00W-2001 IAW DWG HORTON C02658.0000,,30.6,21.42,,,,
C02658.0001,"BELTCOG .50""X1.00""W-KEVLAR GATES/MECTROL CH100KNT",,42.8,29.96,,,,
C02658.0002,"BELTCOG .50""X1.00"" NEOPRENE, GLASS FIBER CORD",,20.7,14.49,,,,
C02659.0000,BRACKET HANGER,,144.0,100.8,,,,
C02664.0001,ENCODER OPTIC,,247.0,172.9,,,,
C02666.0001,COVER ENCODER,,116.0,81.2,,,,
C02674.0000,MOUNT GUIDE PIN,,33.3,23.31,,,,
C02675.0000,GUIDE BLOCK,,28.6,20.02,,,,
C02678.0002,PLATE BELT SPLICE (H100),,27.0,18.9,,,,
C02679.0002,TRACK -BOTTOM GUIDE,,129.0,90.3,,,,
C02681.0000,ASSY BOT GUIDE IND SLIDE,,161.0,112.7,,,,
C02681.0001,ASSY-BOTTOM GUIDE-INDUSTRIAL,EA,154.0,107.8,,,,
C02688.001A,ALUM EXTRUSION-SPACER-SO CLOSER - CLEAR 288 IN,LF,31.8,22.26,,,,
C02688.001B,ALUM EXTRUSION-SPACER-SO CLOSER BRONZE 288 IN,LF,90.3,63.21,,,,
C02702.000P,END CAP ELEGANT LH 6.425,EA,299.0,209.3,,,,
C02702.000S,END CAP ELEGANT LH 6.425,EA,242.0,169.4,,,,
C02703.000P,END CAP ELEGANT RH 6.425,EA,282.0,197.4,,,,
C02710.0001,STEEL STAINLESS 0.188 X 2 X 4,SF,390.0,273.0,,,,
C02712.000R,END CAP ELG R-505 CLAD,EA,311.0,217.7,,,,
C02714.000P,END CAP ELG R-4.48 CLAD,EA,293.0,205.1,,,,
C02716.000P,END CAP ELG LW4.67 CLAD,EA,338.0,236.6,,,,
C02716.000S,END CAP ELG LW4.67 CLAD,EA,341.0,238.7,,,,
C02718.000P,END CAP ELG RW4.67 CLAD,EA,380.0,266.0,,,,
C02718.000S,END CAP ELG RW4.67 CLAD,EA,341.0,238.7,,,,
C02720.000P,END CAP ELG L 4.48 CLAD,EA,336.0,235.2,,,,
C02722.0000,STEEL SHT 10 GA .135,SF,37.6,26.32,,,,
C02722.000S,END CAP ELG L 5.05 CLAD,EA,324.0,226.8,,,,
C02726.000S,END CAP ELEGANT-L-4.67 NO W/S,EA,381.0,266.7,,,,
C02728.000S,END CAP ELEGANT-L-4.67 NO W/S,EA,381.0,266.7,,,,
C02745.000A,ALUM BELT DR TELE HDR BACK MEMBER - CLEAR 288 IN,LF,49.3,34.51,,,,
C02745.000B,ALUM BELT DR TELE HDR BACK MEMBER- BRONZE 288 IN,LF,52.3,36.61,,,,
C02745.001A,EXTRUSION.ALUMINUM.HEADER.S2003T.6 IN X 8 IN.288 IN.6063.T5.CLEAR,LF,69.3,48.51,,,,
C02745.001B,EXTRUSION.ALUMINUM.HEADER.S2003T.6 IN X 8 IN.288 IN.6063.T5.DARK BRO,LF,102.0,71.4,,,,
C02746.000A,ALUM BELT DRIVE TELE HDR ANTI-RISE CLEAR 288 IN,LF,36.6,25.62,,,,
C02746.000B,ALUM BELT DRIVE TELE HDR ANTI-RISE BRONZE 288 IN,LF,69.9,48.93,,,,
C02747.000A,ALUM BELT DRIVE TELE HDR TOP MEMBER - CLEAR 288 IN,LF,34.9,24.43,,,,
C02747.000B,ALUM BELT DRIVE TELE HDR TOP MEMBER BRONZE 288 IN,LF,52.3,36.61,,,,
