Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,A&M Part #
C00265.00RA,ALUM EXT HEADER BM - CLEAR 288 IN,LF,98.5,68.95,,,,
C00265.00RB,ALUM HEADER BM BRONZE 288 IN,LF,108.0,75.6,,,,
C00266.00RA,ALUM FACEPLATE - CLEAR 291 IN,LF,31.8,22.26,,,,C0266RA
C00266.00RB,ALUM FACEPLATE DARK BRONZE 291 IN,LF,86.6,60.62,,,,
C00268.000A,ALUM TUBE 1 3/4 X 3 - CLEAR 288 IN,LF,49.8,34.86,,,,
C00268.000B,ALUM TUBE 1.75 X 3 PLAIN - DARK BRONZE 288 IN,LF,723.0,506.1,,,,
C00269.00RA,ALUM TRACK GUIDE TELE - CLEAR 288 IN,LF,9.7,6.79,,,,C0269RA
C00269.00RB,ALUM TRACK GUIDE TELE BRONZE 288 IN,LF,13.5,9.45,,,,C0269RB
C00270.001A,ALUM EXTR FACEPLATE - CLEAR 288 IN,LF,46.0,32.2,,,,
C00270.001B,ALUM EXTR FACEPLATE BRONZE 288 IN,LF,41.2,28.84,,,,
C00271.000A,ALUM BAR 3/8X3/4 CLR,LF,13.0,9.1,,,,
C00271.000B,ALUM BAR 3/8X3/4 BZ,LF,8.0,5.6,,,,
C00273.000A,ALUM TUBE 1 3/4 IN X 4 1/2 IN - CLEAR 288 IN,LF,102.0,71.4,,,,
C00273.000B,ALUM TUBE 1 3/4 X4 1/2 - DARK BRONZE 288 IN,LF,13.0,9.1,,,,
C00275.000A,ALUM TUBE;2 1/4ODX.065WX12FT 6061T6 CLEAR - 144 IN,LF,136.0,95.2,,,,
C00275.000B,ALUM TUBE;2 1/4ODX.065WX12FT 6061T6 DARK BRONZE - 144 IN,LF,54.1,37.87,,,,
C00278.001A,ALUM PUSH BAR HOL - CLEAR 288 IN,LF,10.9,7.63,,,,
C00278.001B,ALUM PUSH BAR HOL BRONZE,LF,25.4,17.78,,,,
C00281.001A,ALUM PUSH BAR 3/8 X 2 IN - CLEAR 252 IN,LF,90.9,63.63,,,,
C00281.001B,ALUM PUSH BAR 3/8X2 21FT SL BRONZE 252 IN,LF,110.0,77.0,,,,
C00282.0001,ALUM BAR 1/2X1 1/4 6061T6,LF,19.1,13.37,,,,
C00283.000A,ALUM RAIL BOTTOM 6 1/2 IN - CLEAR 288 IN,LF,61.9,43.33,,,,
C00283.000B,ALUM RAIL BOTTOM 6 1/2 IN - DARK BRONZE 288 IN,LF,54.0,37.8,,,,
C00284.001A,ALUM CHNL 7/16 X 1X 7/16 X 1/8 - CLEAR 288 IN,LF,18.4,12.88,,,,
C00284.001B,ALUM CHNL 7/16X1X7/16X1/8 BRONZE 288 IN,LF,17.5,12.25,,,,
C00286.001A,ALUM BAR MUNTIN 1/2 CLR,LF,60.2,42.14,,,,
C00286.001B,ALUM BAR MUNTIN 1/2 BRZ,LF,27.0,18.9,,,,
C00289.0000,CAP NYLON C330-1/C2873 P/N 2.17038 PRF 40.789 X1000FT,LF,8.7,6.09,,,,C0289
C00291.0001,CAPTRACK-NYLOTRON GS,LF,16.4,11.48,,,,C0291-1
C00291.000R,CAP NYLON DOOR TRACK P/N 2.15426 PRF 40.659X1000FT,LF,16.4,11.48,,,,
C00292.0000,ALUM CHL 1X1 .125,LF,12.8,8.96,,,,
C00293.0000,MOHAIR W/S C314 AMESBURY P/N 31027045GYGP,LF,3.9,2.73,,,,
C00294.0001,"WEATHERSEALBRUSH BRKT-.47"" MEMTECH P/N AA00CLA10 - MILL FINISH",LF,30.2,21.14,,,,
C00294.000160,DOOR FLOOR NYLON BRUSH WEATHER SWEEP - FITS UNDER DOOR PANEL - BL,EA,79.1,55.37,,,,
