Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Used On,Suggested Resale,Link
65161302,"Header Cover, Electric, Clear",EA,51.7,25.9,Used on 131,,,131,41.4,
65162601,"Header Cover, Manual, Bronze",EA,68.2,34.1,Used on 131,,,131,54.6,
65162602,"Header Cover, Manual, Clear",EA,72.0,36.0,Used on 131,,,131,54.0,
00650929,Housing - Elect Eye (Order 2 screws 10010110),EA,70.0,35.0,"Used on 131, 275, BO-10",,,"131, 275, BO-10",52.5,
10280010,Key Ring for Solenoid (Split Ring),EA,2.0,1.0,"Used on 131, 275, 600, BO-10",,,"131, 275, 600, BO-10",1.5,
85004800,Lock Bar Set BO-10 RX & 131Clr (BO-10 mounts on door 131 mounts on jamb)82.00,EA,165.0,82.0,"Used on 131, BO-10",,,"131, BO-10",125.0,
85004700,Lock Bar Set BO-10 RX & 131 Brz (BO-10 mounts on door 131 mounts on jamb),EA,165.0,82.0,"Used on 131, BO-10",,,"131, BO-10",125.0,
85145800,Lock Latch Kit- (Sash Lock)*** NO MORE ***,EA,,,"Used on 131, BO-10, FM-10",,Discontinued / no stock,"131, BO-10, FM-10",,
85004200,Manual Latch For Bo10 / 131/ 275,EA,81.0,40.0,"Used on 131, BO-10",,,"131, BO-10",61.0,http://www.partstown.com/ready_access/rdy85004200;sid=Y0Px_7UNpTjx_-xYIMnH8R3Nl5-x-3A5Odo=
85152100,"Manual Release Handle BO-10, 131",EA,45.0,22.0,"Used on 131, BO-10",,,"131, BO-10",34.0,http://www.partstown.com/ready_access/rdy85152100;sid=Y0Px_7UNpTjx_-xYIMnH8R3Nl5-x-3A5Odo=
85178200,Motor & Sprocket Assy 131,EA,264.0,132.0,Used on 131,,,131,200.0,http://www.partstown.com/ready_access/rdy85178200;sid=Y0Px_7UNpTjx_-xYIMnH8R3Nl5-x-3A5Odo=
10010039,Motor Mount Screw,EA,0.1,0.1,"Used on 131, 275, 600",,,"131, 275, 600",0.1,
10270009,Motor Roll Pin,EA,0.3,0.1,"Used on 131, 275, 600, BO-10",,,"131, 275, 600, BO-10",0.2,
20110241,Power Receptacle,EA,4.4,2.2,"Used on 131, 275, BO-10, FM-10",,,"131, 275, BO-10, FM-10",3.5,
85001200,"Power Supply 110V - BO10, 131***NO MORE***",EA,170.0,85.0,"Used on 131, BO-10",,Discontinued / no stock,"131, BO-10",127.5,http://www.partstown.com/ready_access/rdy85001200;sid=7_3pWz0nZMnpW2Rxsu7aVZXnKsmzwsn7r_k=
85006200,"Power Supply 110V Class 2 - BO-10, 131 (2 Fuses)",EA,124.0,62.0,"Used on 131, BO-10",,,"131, BO-10",94.0,http://www.partstown.com/ready_access/rdy85006200;sid=7_3pWz0nZMnpW2Rxsu7aVZXnKsmzwsn7r_k=
85001500,"Power Supply 220V - Bo10, 131***NO MORE***",EA,190.0,95.0,"Used on 131, BO-10",,Discontinued / no stock,"131, BO-10",142.5,
10010162,Pulley Bolt,EA,0.1,0.1,"Used on 131, 275, 600, BO-10",,,"131, 275, 600, BO-10",0.1,
10130007,Pulley Lock Nut,EA,0.1,0.1,"Used on 131, 275, 600, BO-10",,,"131, 275, 600, BO-10",0.1,
20200142,Pulley-Kilrol (Cable),EA,50.0,25.0,"Used on 131, 275, BO-10, FM-10",,,"131, 275, BO-10, FM-10",35.0,http://www.partstown.com/ready_access/rdy20200142;sid=Y0Px_7UNpTjx_-xYIMnH8R3Nl5-x-3A5Odo=
84001800,Retro Kit - Foot Pedal Switch,EA,149.0,74.0,"Used on 131, 275, 606, BO-1, BO-2, BO-4",,,"131, 275, 606, BO-1, BO-2, BO-4",113.0,
10180009,Rivet,EA,0.4,0.2,"Used on 131, 275, 600, AA100, AA300, BO-1, BO-10, BO-2, BO-4, FM-1, FM-10, FM-2, FM-3, FM-4",,,"131, 275, 600, AA100, AA300, BO-1, BO-10, BO-2, BO-4, FM-1, FM-10, FM-2, FM-3, FM-4",0.3,
10180010,Rivet For Bearing Slides Long Shank,EA,0.4,0.2,"Used on 131, BO-10, FM-10",,,"131, BO-10, FM-10",0.3,
10180024,Rivet For Door Guide,EA,0.4,0.2,"Used on 131, 275, BO-10, FM-10",,,"131, 275, BO-10, FM-10",0.3,
10010110,Screw,EA,0.1,0.1,"Used on 131, 275, 600, BO-1, BO-10, BO-2, BO-4, FM-1, FM-10, FM-2, FM-3, FM-4",,,"131, 275, 600, BO-1, BO-10, BO-2, BO-4, FM-1, FM-10, FM-2, FM-3, FM-4",0.1,
10010114,"Screw (Header cover, etc-BLACK)",EA,0.1,0.1,"Used on 131, 275, 600, BO-1, BO-10, BO-2, BO-4, FM-1, FM-10, FM-3, FM-4, Straw",,,"131, 275, 600, BO-1, BO-10, BO-2, BO-4, FM-1, FM-10, FM-3, FM-4, Straw",0.1,
10010115,"Screw (Header cover,) SILVER",EA,0.1,0.1,"Used on 131, 275, 600, BO-10",,,"131, 275, 600, BO-10",0.1,
10010026,Screw for Cable Clamp,EA,0.1,0.1,"Used on 131, BO-10, FM-10",,,"131, BO-10, FM-10",0.1,
10060087,Screw for Door Guide (Need 4),EA,0.2,0.1,"Used on 131, 275, FM-1, FM-3, FM-4",,,"131, 275, FM-1, FM-3, FM-4",0.2,
85100901,Sensor - Beam Box (Bronze) 131 or MOER,EA,546.0,364.0,"Used on 131, 275 M.O.E.R.",,,"131, 275 M.O.E.R.",455.0,http://www.partstown.com/ready_access/rdy85100901;sid=CHNMFYrWEghMFdOAnUZ_GyIWzUcWjE_iUuo=
